"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
903040,Sushi Making Tokyo,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>Welcome to Sushi Making Tokyo!</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Experience roll sushi and authentic Japanese sushi and create unforgettable memories in the heart of traditional Tokyo — Asakusa close to Tokyo Skytree. Sushi Making Tokyo offers a top-rated cooking class by Food Activity Japan.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">No experience is needed — our friendly local staff will guide you in English. Groups and solo guests are all welcome — let’s enjoy making sushi together! It is one of the most memorable things to do in Tokyo. Located just steps from Sensoji Temple, Asakusa is the perfect place to explore Japanese food culture.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">After enjoying our food activity in Japan, you won’t just be full — your heart will be full too, with smiles, new skills, and memories that last a lifetime. Let’s dive into Japanese culture together!!</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>▶︎Highlight</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">・Learn sushi history through an interactive and lighthearted quiz<br />・Make two types of sushi: roll and authentic Japanese sushi<br />・Eat your sushi and make memories you will never forget<br />・English-speaking local staff help create unforgettable memories<br />・Enjoy sushi making in historic Asakusa, close to Tokyo Skytree</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>▶︎About Menu Changes</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">This menu is available.<br />・Standard&#xff08;Gluten-free&#xff09;<br />・Vegan / vegetarian<br />・Halal<br />・Allergy ( *Not used: Meat, Nuts, Fruits, Dairy &#xff09;<br />*If you need to change the menu, please contact us about it when you make a reservation.<br />*We CAN NOT respond on the day.<br />*We DO NOT accept any ingredients specifications.</p>",,35.71083563,139.7955714,111-0034,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fa441833e-e4ab-4eab-8c4d-182eeeec5bfc.jpeg
903041,Sushi Making Tokyo,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>Welcome to Sushi Making Tokyo!</strong></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Experience roll sushi and authentic Japanese sushi and create unforgettable memories in the heart of traditional Tokyo — Asakusa close to Tokyo Skytree.<br />Sushi Making Tokyo offers a top-rated cooking class by Food Activity Japan.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">No experience is needed — our friendly local staff will guide you in English.<br />Groups and solo guests are all welcome — let’s enjoy making sushi together!<br />It is one of the most memorable things to do in Tokyo.<br />Located just steps from Sensoji Temple, Asakusa is the perfect place to explore Japanese food culture.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">After enjoying our food activity in Japan, you won’t just be full — your heart will be full too, with smiles, new skills, and memories that last a lifetime.<br />Let’s dive into Japanese culture together!!</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /><span style=""font-size:16px""><strong>▶︎</strong></span><strong>Highlight</strong></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">・Learn sushi history through an interactive and lighthearted quiz</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">・Make two types of sushi: roll and authentic Japanese sushi</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">・Eat your sushi and make memories you will never forget</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">・English-speaking local staff help create unforgettable memories</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">・Enjoy sushi making in historic Asakusa, close to Tokyo Skytree</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><span style=""font-size:14px""><strong>▶︎About Menu Changes</strong></span></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">This menu is available.<br />・Standard&#xff08;Gluten-free&#xff09;<br />・Vegan / vegetarian<br />・Halal<br />・Allergy ( *Not used: Meat, Nuts, Fruits, Dairy &#xff09;<br />*If you need to change the menu, please contact us about it when you make a reservation.<br />*We CAN NOT respond on the day.<br />*We DO NOT accept any ingredients specifications.</p>",,35.71083019,139.7955731,111-0034,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F5f52186e-a584-4cad-9b2f-96f0ceb0985e.jpg
903042,Sushi Making Osaka（Private）,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>Welcome to Sushi Making Osaka!</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Experience roll sushi and authentic Japanese sushi, and create unforgettable memories in the heart of Japan’s food capital — Osaka!<br />Sushi Making Osaka offers a top-rated cooking class by Food Activity Japan.<br /><br />No experience is needed — our friendly local staff will guide you in English.<br />Groups and solo travelers are all welcome — let’s enjoy making sushi together!<br />It is one of the most memorable things to do in Osaka.<br />Located near Dotonbori and Shinsaibashi, this area is the perfect place to explore Japan’s rich and vibrant food culture.<br />After enjoying our food activity in Japan, you won’t just be full — your heart will be full too, with smiles, new skills, and unforgettable memories.<br />Let’s dive into Japanese culture together!!</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>Highlight</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">・Learn sushi history through an interactive and lighthearted quiz<br />・Make two types of sushi: roll and authentic Japanese sushi<br />・Eat your sushi and make memories you will never forget<br />・English-speaking local staff help create unforgettable memories<br />・Enjoy sushi making in central Osaka – Dotonbori and Shinsaibashi</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>About Menu Changes</strong><br />This menu is available.<br />・Vegan, vegetarian<br />・Gluten-free<br />・Halal<br />・Allergy  ( *Not used: Meat, Nuts, Fruits, Dairy &#xff09;<br />*If you need to change the menu, please contact us about it when you make a reservation.<br />*Deadline for menu changes is 3 days in advance.<br />*We CAN NOT respond on the day.<br />*We DO NOT accept any ingredients specifications.</p>",,34.67233877,135.5024421,542-0083,JP,
903043,Sushi Making Osaka,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>Welcome to Sushi Making Osaka!</strong></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Experience roll sushi and authentic Japanese sushi, and create unforgettable memories in the heart of Japan’s food capital — Osaka!<br />Sushi Making Osaka offers a top-rated cooking class by Food Activity Japan.<br /><br />No experience is needed — our friendly local staff will guide you in English.<br />Groups and solo travelers are all welcome — let’s enjoy making sushi together!<br />It is one of the most memorable things to do in Osaka.<br />Located near Dotonbori and Shinsaibashi, this area is the perfect place to explore Japan’s rich and vibrant food culture.<br />After enjoying our food activity in Japan, you won’t just be full — your heart will be full too, with smiles, new skills, and unforgettable memories.<br />Let’s dive into Japanese culture together!!</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>▶︎Highlight</strong></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">・Learn sushi history through an interactive and lighthearted quiz<br />・Make two types of sushi: roll and authentic Japanese sushi<br />・Eat your sushi and make memories you will never forget<br />・English-speaking local staff help create unforgettable memories<br />・Enjoy sushi making in central Osaka – Dotonbori and Shinsaibashi</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>▶︎About Menu Changes</strong></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">This menu is available.<br />・Standard&#xff08;Gluten-free&#xff09;<br />・Vegan / vegetarian<br />・Halal<br />・Allergy ( *Not used: Meat, Nuts, Fruits, Dairy &#xff09;<br />*If you need to change the menu, please contact us about it when you make a reservation.<br />*We CAN NOT respond on the day.<br />*We DO NOT accept any ingredients specifications.</p>",,34.67232875,135.5024563,542-0083,JP,
903044,Sushi Making Osaka（Sub）,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>Welcome to Sushi Making Osaka!</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Experience roll sushi and authentic Japanese sushi, and create unforgettable memories in the heart of Japan’s food capital — Osaka!<br />Sushi Making Osaka offers a top-rated cooking class by Food Activity Japan.<br /><br />No experience is needed — our friendly local staff will guide you in English.<br />Groups and solo travelers are all welcome — let’s enjoy making sushi together!<br />It is one of the most memorable things to do in Osaka.<br />Located near Dotonbori and Shinsaibashi, this area is the perfect place to explore Japan’s rich and vibrant food culture.<br />After enjoying our food activity in Japan, you won’t just be full — your heart will be full too, with smiles, new skills, and unforgettable memories.<br />Let’s dive into Japanese culture together!!<br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>▶︎Highlight</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">・Learn sushi history through an interactive and lighthearted quiz <br />・Make two types of sushi: roll and authentic Japanese sushi <br />・Eat your sushi and make memories you will never forget<br />・English-speaking local staff help create unforgettable memories<br />・Enjoy sushi making in central Osaka – Dotonbori and Shinsaibashi<br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>▶︎About Menu Changes</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">This menu is available. <br />・Standard&#xff08;Gluten-free&#xff09;<br />・Vegan / vegetarian<br />・Halal<br />・Allergy ( *Not used: Meat, Nuts, Fruits, Dairy &#xff09;<br /> *If you need to change the menu, please contact us about it when you make a reservation. <br />*We CAN NOT respond on the day. <br />*We DO NOT accept any ingredients specifications.</p>",,35.71082474,139.7955678,,,
919795,Sushi & Ramen Cooking,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Are you ready to become a “Sushi and Ramen Master”?<br /><br />Sushi and Ramen are represented as Japanese culture therefore making sushi is the best way to enjoy Japanese food!!<br />Our friendly staff help to make one of the best moments in Japan.<br />Let’s dive into Japanese culture together!<br /><br />▶︎About us<br />Our cooking class was opened in 2023 in Tokyo with the theme of “Japanese Food” and “Experience”.<br />We would like to enjoy “Sushi Making” to more people around the world!<br /><br />▶︎Menu<br />You can learn how to make Sushi and Ramen, it’s the most popular in Japanese cooking class.<br />1&#xff1a;Ramen<br />You can master all aspects of ramen soup and chashu!<br />2&#xff1a;Nigiri Sushi<br />The most popular and standard sushi style in Japan and it is the origin of sushi!<br /><br />▶︎Instructor / Staff<br />The local staff who speak English clearly present a fabulous class with enthusiasm.<br />It is sure to be an unforgettable memory of your time in Tokyo!</p>",,35.6661303,139.7858112,104-0051,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fb67f998f-f35b-4beb-8866-d289bd4f5e4e.jpeg
955581,Matcha Making Tokyo,"<p style=""font-size:32px;line-height:1.6;color:rgb( 52 , 64 , 78 );margin-top:0.5em;margin-bottom:0.5em""><strong>Welcome to Matcha Making Tokyo!</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Experience authentic matcha and create unforgettable memories in the heart of traditional Tokyo — Asakusa close to Tokyo Skytree.<br />Matcha Making Tokyo offers a top-rated cooking class by Food Activity Japan.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">No experience is needed — our friendly local staff will guide you in English.<br />Groups and solo guests are all welcome — let’s enjoy the experience together!<br />It is one of the most memorable things to do in Tokyo.<br />Asakusa is rich in culture, making it the perfect place to explore Japanese food traditions.<br />After enjoying our food activity in Japan, you won’t just be refreshed — your heart will be full too, with smiles, mindfulness, and memories that last a lifetime.<br />Let’s dive into Japanese culture together!!</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>Highlight</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">・Learn matcha history through an interactive and lighthearted quiz<br />・Whisk your own matcha with traditional tools like a tea master<br />・Drink your matcha and eat Japanese sweets with local staff<br />・English-speaking local staff help create unforgettable memories<br />・Enjoy matcha making in historic Asakusa, close to Tokyo Skytree</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p>",,35.71082368,139.7955751,111-0034,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F839ff176-c4f0-4f94-b7be-c4700cb5c393.jpg
955595,Sushi Making Tokyo（Private）,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>Welcome to Sushi Making Tokyo!&#xff08;Private Class&#xff09;</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Experience roll sushi and authentic Japanese sushi and create unforgettable memories in the heart of traditional Tokyo — Asakusa close to Tokyo Skytree. Sushi Making Tokyo offers a top-rated cooking class by Food Activity Japan.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">No experience is needed — our friendly local staff will guide you in English. Groups and solo guests are all welcome — let’s enjoy making sushi together! It is one of the most memorable things to do in Tokyo. Located just steps from Sensoji Temple, Asakusa is the perfect place to explore Japanese food culture.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">After enjoying our food activity in Japan, you won’t just be full — your heart will be full too, with smiles, new skills, and memories that last a lifetime. Let’s dive into Japanese culture together!!</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>▶︎Highlight</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">・Learn sushi history through an interactive and lighthearted quiz</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">・Make two types of sushi: roll and authentic Japanese sushi</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">・Eat your sushi and make memories you will never forget</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">・English-speaking local staff help create unforgettable memories</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">・Enjoy sushi making in historic Asakusa, close to Tokyo Skytree</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>▶︎About Menu Changes</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">This menu is available.</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""> ・Standard&#xff08;Gluten-free&#xff09;<br />・Vegan / vegetarian<br />・Halal<br />・Allergy ( *Not used: Meat, Nuts, Fruits, Dairy &#xff09;<br />*If you need to change the menu, please contact us about it when you make a reservation. <br />*We CAN NOT respond on the day.<br />*We DO NOT accept any ingredients specifications.</p>",,35.71082474,139.7955678,111-0034,JP,
968785,Sushi & Ramen Cooking（Private）,"Are you ready to become a “Sushi and Ramen Master”?<br /><br />Sushi and Ramen are represented as Japanese culture therefore making sushi is the best way to enjoy Japanese food!!<br />Our friendly staff help to make one of the best moments in Japan.<br />Let’s dive into Japanese culture together!<br /><br />▶︎About us<br />Our cooking class was opened in 2023 in Tokyo with the theme of “Japanese Food” and “Experience”.<br />We would like to enjoy “Sushi Making” to more people around the world!<br /><br />▶︎Menu<br />You can learn how to make Sushi and Ramen, it’s the most popular in Japanese cooking class.<br />1&#xff1a;Ramen<br />You can master all aspects of ramen soup and chashu!<br />2&#xff1a;Nigiri Sushi<br />The most popular and standard sushi style in Japan and it is the origin of sushi!<br /><br />▶︎Location<br />Our class is located in the center of Tsukiji (Just 5 minutes from the station) where is the most popular tourist city in Tokyo, and places to visit in a lifetime because there are many unique fish markets and culture.You can also explore historic sites after class!<br /><br />▶︎Instructor / Staff<br />The local staff who speak English clearly present a fabulous class with enthusiasm.<br />It is sure to be an unforgettable memory of your time in Tokyo!",,35.66615639,139.7858116,104-0051,JP,
969885,Matcha Making Osaka,"<p style=""font-size:32px;line-height:1.6;color:rgb( 52 , 64 , 78 );margin-top:0.5em;margin-bottom:0.5em""><strong>Welcome to Matcha Making Osaka!</strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Experience authentic matcha and create unforgettable memories in the heart of Osaka, Japan’s food capital.<br />Matcha Making Osaka offers a top-rated cooking class by Food Activity Japan.<br />Located near Dotonbori, this area is full of energy and flavor — a perfect place to explore Japanese food traditions.<br /><br />No experience is needed — our friendly local staff will guide you in English.<br />Groups and solo guests are all welcome — let’s enjoy the experience together!<br />It is one of the most memorable things to do in Osaka.<br />After enjoying our food activity in Japan, you won’t just be refreshed — your heart will be full too, with smiles, mindfulness, and memories that last a lifetime.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>Highlight</strong></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">・Learn matcha history through an interactive and lighthearted quiz<br />・Whisk your own matcha with traditional tools like a tea master<br />・Drink your matcha and eat Japanese sweets with local staff<br />・English-speaking local staff help create unforgettable memories<br />・Enjoy matcha making in central Osaka – Dotonbori and Shinsaibashi</p>",,35.71082474,139.7955678,,,
