"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
960836,"Full Customized private van with guide ""CRUISE WELCOME"" (1-6 pax)","This is the private customized tour until 6 hours from Osaka city center or cruise port and returns back to the same destination or your requested drop off point.<br/><br/>You could choose your destination widely and discuss with he driver guide with fully private customized tour. <br/><br/>We could go anywhere, Toll fee, parking fee, admission fee, and lunch not included, needs to pay on spot.<br/><br/>If you with to extend the tour you could discuss with the driver guide on spot with the extra charges please negotiate on spot.","{""guidanceTypes"":[{""id"":null,""created"":[2025,7,9,10,51,9,986030127],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",34.6937249,135.5022535,,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fe233850c-616c-44ba-9e8c-e1656fb46545.jpg
960837,KOBE : Visit 5 block Nada Sake Breweries w/Private Van (1-6 pax),"Visit all 5 blocks of Nada Sake Brewery on a private tour. Enjoy free tastings and purchase your favorite sake.<br/><br/>Not only the free tastings, during these visit we will give you an explanations and in each brewery we offer you our recommended entertainment of extra charge tastings or surprising souvenirs.<br/><br/>Choose from two session AM 10:00 starting from Sannomiya and PM 14:00 from Hanshin Nishinomiya. In the event that one of the breweries is closed, visit another brewery upon request.<br/><br/>Relax in your private vehicle, which is equipped with air conditioning and a mobile phone charger. Enjoy a guided tour of the breweries and receive a small bottle of fresh sake to take home.","{""guidanceTypes"":[{""id"":null,""created"":[2025,7,9,10,51,14,608472141],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",34.6900806,135.1956311,,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F3deae8cc-3034-4d49-ba0c-634f7524dae9.jpg
992251,NARA : Mt. ONTAKE Worship Experience,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Certified by the International Tokuiku Association. Shitaijutsu advisor. Member of the Kansai Taikyoku Hadodan. Calligrapher who spreads Shiyareiho (Samurai etiquette, the seven secret teachings).</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Guided by the words &#34;You can attain enlightenment with five seconds of bowing a day,&#34; I started practicing samurai etiquette. My goal is to make the world a fun and interesting place where people all over the world can laugh and fly freely in the sky. My goal is to create a place where people can use etiquette and Hado Tai Chi to let others know that each person is a creator who creates a more fun and interesting world. </p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">①Morning worship (every day from 9:00 to 9:30)</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">8:00 Gather at the north exit of Kintetsu Gakuenmae Station</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">(Confirmation of tour details and precautions)</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Early morning worship</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">9:00 Participate in morning worship at the main shrine</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">9:30 Boundary tour</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Meditation &#43; Goma Hall</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">10:00 Calligraphy experience or Ritual experience</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">12:00 Lunch (Food offering)</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">13:00 Strolling worship</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">15:00 Send-off to Gakuenmae Station</p>","{""guidanceTypes"":[]}",34.69765875,135.7505969,631-0034,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fcb565ebd-9d17-43ac-8c10-6aa1dda5abb8.jpeg
992276,Kobe Shioya : Private group 1hour Sushi making experience for lunch @DAISHIN,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">The Sushi class will be 12 nigiri and 1 roll and Red Japanese miso soup,</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">please try this meaningful experience of Sushi class private lesson.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">After the lecture, you will be trying by your hand making nigiri sushi yourself.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">After the lesson you could enjoy talk with the Sushi master and could taste Japanese sake as option.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Time duration will be around 1 hour plus Sushi lunch and the maximum participants will be 4 person for this tour.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">(please ask if you have more participants, will check with requet basis)</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">You could enjoy walking this Shioya sea town after your Sushi class and lunch.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">5 special points</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">1.(Fish)</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Purchased directly from local Kobe Shioya fishermen!</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Depending on the season, we also receive mackerel from Awaji, Akashi, Kobe Central Market, and Oita Prefecture.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Please take this opportunity to enjoy dishes that make use of fresh, local, seasonal fish.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">2.(Local sake)</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Please enjoy the dry local sake that goes well with the fish and dishes, selected by the owner himself, regardless of the brand.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">3.(purple)</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">In order to make your sushi and sashimi even more delicious, we have created a mellow flavor with a bonito flavor.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">4.(Landscape)</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Kobe Shioya is a port town surrounded by the sea and mountains and is rich in nature.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">In front of you stands the world&#39;s second longest Akashi Kaikyo Bridge, which connects Honshu and Awaji Island, and its beautiful appearance captivates visitors.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Our restaurant is a small sushi restaurant located in a fishing town near the sea.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">5 (Kobe City, Hyogo Prefecture)</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Kobe is also very famous as a hot spring area, and just 30 minutes by car from Shioya you can also go to Arima Onsen, a famous place that Japan is proud of and has a history of over 1,000 years.</p>","{""guidanceTypes"":[]}",34.6344365,135.0824096,655-0872,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F75d0b877-3978-4aba-962d-697b28ab8d2a.jpeg
1033543,OSAKA : Private English guide service with public transport ,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""> Osaka castle, Dotombori, Vintage Whiskey tasting</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,9,18,0,15,39,502187469],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.66840844,135.5011034,542-0071,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F9b3fc888-721c-4f21-8cbc-ea31ec336388.png
1057270,Osaka:  Enjoy to the fullest! Only a guide knows! Namba gourmet tour!,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">[Starting from Dotonbori, the mecca of Osaka gourmet food!]<br />The tour begins in front of the Kuidare Building, a symbol of Namba, Osaka.<br />The &#34;Kuidare Doll&#34; standing in front of it, with its colorful costume and humorous expression, is a symbol of Osaka&#39;s food culture. Once you meet up with your local guide here, your gourmet tour of the &#34;city of food to your heart&#39;s content&#34; will begin! Dotonbori is a gourmet treasure trove filled with Osaka&#39;s representative soul foods, such as takoyaki, okonomiyaki, and kushikatsu. The streets are lined with steaming food stalls and shop fronts exuding fragrant aromas, and just walking around will whet your appetite. Many dishes are served in a takeout style, so one of the attractions is that you can casually enjoy eating while walking around. Although it is a tourist destination, Dotonbori has a nostalgic and friendly atmosphere. Experience the charm of Osaka with all your senses while surrounded by the smiles and energy of the local people.<br />[Enjoy Osaka&#39;s &#34;deep gourmet&#34; in Ura-Namba and Hozenji Yokocho!]<br />Next, we will visit a hidden spot known as &#34;Ura Namba&#34; and &#34;Hozenji Yokocho,&#34; where Osaka&#39;s food culture is strongly alive. A little away from the hustle and bustle of tourist spots, this area is home to long-established and unique restaurants that have been loved by locals for many years. The soft lights of lanterns sway along the narrow stone-paved alleys, creating a nostalgic scene. As you walk through the space that makes you feel like you&#39;ve traveled back in time to the Showa era, your steps will naturally slow down. As the night deepens, the laughter of regular customers and the sounds of clinking glasses echo throughout the area, and the whole town is enveloped in a warm and lively atmosphere. In this area, not only the taste of each restaurant, such as yakitori, kushiage, teppanyaki, sushi, takoyaki, and okonomiyaki, is one of the attractions, but also the personality of the owner and the atmosphere inside the restaurant. Rather than tasting the food, it may be closer to the feeling of &#34;enjoying the space itself.&#34; It&#39;s like touring a food theme park, where you will encounter one delicious dish after another, satisfying both your stomach and your heart - this is the kind of gourmet experience you can only have in Osaka.<br />[Commemorative photo taken at a famous spot in Osaka!]<br />If you come to Osaka, this spot is a must-visit for photography!<br />Dotonbori is a town that shows a completely different look during the day and at night. During the day, it is crowded with tourists and has a bright and lively atmosphere, but when the sun goes down, its appearance changes completely. When the neon lights come on and the streets along the river start to shine fantastically, the night world spreads out like a scene from a movie. Dotonbori at night is a place where you can get a glimpse of the &#34;true feelings of Osaka people&#34;. The sight of local people gathering and laughing casually while enjoying food and drinks is somehow warm and very unique. The fragrant smell of takoyaki, the sound of frying kushikatsu, and the laughter of passersby mix together, allowing you to experience the night of Osaka with all five senses. At the end of this gourmet tour, you will surely realize that the town of Dotonbori is not just a tourist spot, but a &#34;living Osaka&#34; where culture and human kindness breathe. Its special charm remains deep in the hearts of those who visit, and has a mysterious attraction that makes them want to return again and again.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,7,15,3,58,29,498189376],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.6886749,135.5098001,542-0071,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fdb14f19c-175a-4e71-9cc6-b7e3b1debe18.png
1057287,Osaka Namba : Purrrrfect Kushikatsu & Okonomiyaki Cook'n'eats 12:00-14:00 @FUTA,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Join Hirokazu, a professional Kushikatsu chef and a store owner, in a unique local exploration of Osaka’s foods and flavors. Located about a 5-minute walk from Osaka Metro Namba Station, this is a hidden gem that you might not find just by strolling around. It offers a cozy space where you can relax comfortably. One of the highlights is discovering a large collection of cat goods gathered by the cat-loving owner throughout the shop.<br /><br />Do you fancy Kushikatsu and Okonomiyaki? Hirokazu will explain the history of Kushikatsu and Okonomiyaki, and how to make Kushikatsu and Okonomiyaki as well. Those two are Osaka&#39;s specialties. Many of guests have tried those dishes here in Osaka, but why don&#39;t you make it back home?</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,7,15,4,41,35,183041863],""guidanceType"":""GUIDED"",""languages"":[""ja"",""en""],""displayLanguages"":[]}]}",34.6691452,135.4983173,542-0086,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fdeaa811e-91ea-422a-b104-57dffb99981d.png
1058307,Osaka : Temaki Sushi and Tempura Cooking Class @SAKURA,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Come cook in SAKURA with Chef Takuma, a passionate chef with 25 years of experience from Kyushu. In this hands-on Osaka class, you’ll create your own delicious temaki sushi and crispy tempura using the freshest seafood and seasonal veggies—all while soaking up the rich traditions of Japanese culture.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">In this class, you’ll start by learning how to prepare temaki sushi, rolling fresh seafood and crisp vegetables into perfect hand rolls. Then, dive into the art of tempura, where you get to customize your dish by choosing your favorite seafood and vegetables to be lightly battered and fried to a golden crisp.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Hosted at a welcoming restaurant that serves Japanese, Western, and Chinese cuisine, the venue comfortably accommodates large groups and welcomes families with children (culinary fun for all ages, truly!). Whether you’re traveling solo, with friends, or with family, this class is designed to be enjoyable, educational, and suitable for all ages and skill levels.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">In a nutshell, this experience goes beyond cooking. Chef Takuma shares the rich history and traditions behind sushi and tempura, turning each dish into a story you can taste and feel. You’ll leave inspired, carrying the true flavors of Japan with you to recreate at home.</p>","{""guidanceTypes"":[]}",34.6707702,135.5021661,542-0083,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Ffab82b99-bdc4-4558-9d5b-f5f046b73040.png
1058446,Osaka Namba : Purrrrfect Kushikatsu bar dinner course 90min w/one drink @FUTA,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Join Hirokazu, a professional Kushikatsu chef and a store owner, in a unique local exploration of Osaka’s foods and flavors. Located about a 5-minute walk from Osaka Metro Namba Station, this is a hidden gem that you might not find just by strolling around. It offers a cozy space where you can relax comfortably. One of the highlights is discovering a large collection of cat goods gathered by the cat-loving owner throughout the shop.<br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">The master&#39;s course menu will give you unforgettable memory of the Osaka night!</p>","{""guidanceTypes"":[]}",34.6691452,135.4983173,542-0086,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fdeed6a0a-a9ea-430d-a747-5ccbd2ecf169.png
1059668,Kansai : Private Van with English Driver Guide (request base),"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><span style=""font-size:16px""><strong>Create your own adventure!</strong></span></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Just tell me your interests and I will craft a tour tailored to you. Whether it’s nature, history, hot springs, art islands, or hidden gems—we’ll make it unforgettable.</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Why Choose Me?</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""> • Local knowledge and warm hospitality</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""> • Comfortable vehicle (minivan)</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""> • Ideal for families, couples, or small groups</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""> • Licensed and experienced guide with a passion for Japanese culture</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">For other area or with multiple days are welcome with special quotation!!</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">enjoytravel.inc.8&#64;gmail.com</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,7,21,4,59,20,914486600],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",34.68078031,135.2027804,650-0047,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F13b005ae-7599-441d-a1e6-2f7f2b95a1be.png
