"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
990628,おにぎり・味噌汁作り体験,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">日本の寺院の静寂な雰囲気の中で、伝統的な <strong>おにぎり作り</strong> を体験してみませんか&#xff1f;わずか1時間で、新鮮な季節の食材を使いながら、おにぎり作りの技を学ぶことができます。会場は寺院の台所スペース <strong>庫裏&#xff08;くり&#xff09;</strong>。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">また、スタッフが特別な瞬間を撮影するお手伝いをいたします。思い出に残る素敵な写真を残せるチャンスです。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>食文化や日本文化に興味のある方にぴったりの体験です。</strong><br />手を動かして学びながら、寺院の静けさに包まれ、日本の本物の味と文化に触れてみませんか&#xff1f;</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,3,6,8,52,26,944663904],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",36.1387412,137.2544698,506-0025,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fae40e270-86f8-41d3-a029-2ff0ab5f51a3.jpeg
1011951,戒壇めぐり,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>戒壇めぐりとは本堂の地下に続く階段を降り、暗闇の中で手探りで錠を探し当てる修行です。光の頼りを無しにその錠に触れると、暗闇の恐怖心に打ち勝ち、勇気を得られるというご利益があります。</strong></p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,4,15,12,43,57,407157810],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",36.1401985,137.253907,506-0025,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F1a3310fb-572d-4b1c-946e-f21b27b93a61.jpeg
1011954,写経,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>写経とは1300年前から続く、仏様の教えを書き写す修行です。初心者の方でもお気軽に体験できます。一心に仏様の教えを綴り、ご自身の祈願を書き加えてその達成を祈りましょう。</strong></p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,4,15,12,42,34,291221108],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",36.1401985,137.253907,506-0025,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fca2ec85c-8d48-4c43-ba25-6737ea09a813.jpeg
1011959,写仏,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>善光寺の御本尊である阿弥陀如来をお寺の本堂で移し描く簡単な写仏の体験です。集中して本堂で筆を動かしていると、気分も頭も一新できます。日常変わらず過ごせていることの感謝を感じながら丁寧に描いていきます。</strong></p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,4,15,12,42,34,291221108],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",36.1401985,137.253907,506-0025,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Ffe3683d0-f61c-43dc-8f7a-1dccfaaf462b.jpeg
1011963,瞑想,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>善光寺の僧侶である山本住職による、丁寧な解説と瞑想方法の説明があり、初心者の方でもお気軽にご参加いただけます。無心になれる環境で、心を落ち着けてみてはどうでしょうか。</strong></p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,4,15,12,43,57,407157810],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",36.1401985,137.253907,506-0025,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F287b893d-a3be-435f-bc59-d098ce2b4d3e.jpeg
1011969,ヨガ,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>月に数回開催している、「寺ヨガ」です。お寺の本堂で、いつもとは少し違った雰囲気のヨガを楽しみませんか。</strong><br /><strong>動きやすい服装でお越しください。</strong><br /><strong>※ヨガマットは持参も可能ですが、無料で貸し出しております。</strong></p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,4,15,12,53,43,107570566],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",36.1401985,137.253907,506-0025,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F890c2bbf-133d-4145-9fc5-cac431e57ac7.jpeg
1011975,着付け体験,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>お寺で着物&#xff08;夏は浴衣&#xff09;の着付けをご体験頂けます。着付け師の方が丁寧にお手伝い致しますので、初めての方でも御安心して体験いただけます。</strong><br /><strong>着物を着て高山の風情ある街並みを散策すると、きっと思い出深いものになるでしょう。</strong></p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,4,15,12,59,37,487188981],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",36.1401985,137.253907,506-0025,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fec50cfa3-7bca-4a98-a866-b2b8c60bbf48.jpeg
1011978,オリジナル塗香づくり,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>和のフレグランスをまとって、心と体をお寺で清めてみませんか。自分だけのオリジナルの塗香&#xff08;ずこう&#xff09;づくりが体験できます。すべて天然のきめこまやかな香原料を使用し、ご自身の気分や体調に合わせて香りを選ぶことができます。</strong></p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,4,15,12,59,37,487188981],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",36.1401985,137.253907,506-0025,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F575dbfa3-774f-40af-86c0-97ae658c09d0.jpeg
1013903,テーブルスタイル茶道,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>文化やおもてなしの心、わびさびに触れる現代スタイルの茶道です。椅子で気軽に体験でき、海外でも人気の講師・大森美保子がご案内します。一期一会の特別な時間をぜひ高山でお楽しみください。</strong></p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,4,15,12,43,57,407157810],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",36.1401985,137.253907,506-0025,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F79b02ec4-1903-4fe7-ab39-294e32b15667.jpeg
1013905,GYGおにぎりづくり体験,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>地元の新鮮な食材を使った手作りおにぎりと味噌汁を作りましょう。このベジタリアンフレンドリーな体験はあらゆる年齢層を歓迎しており、事前の調理スキルは必要ありません。日本の本物の味と食文化を通じた安らぎのひとときをご堪能ください。</strong></p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,4,15,12,43,57,407157810],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",36.1401985,137.253907,506-0025,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fef618a31-857f-4919-9d89-dcbe83ec27fb.jpeg
1020364,Takayama Rice Ball and Miso Soup Making at a buddhist temple V,"Our onigiri-making and miso soup experience offers a unique opportunity to connect with Japanese culture in an authentic and hands-on way. Unlike typical cooking classes, this activity takes place in the tranquil setting of a historic temple, allowing you to enjoy not only the art of making onigiri but also the peaceful atmosphere that Japan is known for.<br /><br />You’ll have the chance to personalize your own onigiri plate, experimenting with various fillings and flavors, and learn the process of creating a delicious miso soup from scratch using locally renowned Hida miso. This special blend of culture, culinary skill, and tranquility is something you won’t find in just any cooking class. Plus, our experience is entirely vegan-friendly, making it accessible for everyone.<br /><br />Join us to create lasting memories, nourish your body and soul, and take home a unique slice of Japanese culture.","{""guidanceTypes"":[{""id"":null,""created"":[2025,5,3,6,38,45,924681635],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",36.1387085,137.2544836,506-0025,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F5de41cbb-cee4-4fb1-b42f-3d40857f3e1d.jpg
1093978,Takayama Mochi Making Experience in a Buddhist Temple V,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Immerse yourself in Japanese culture with a hands-on Mochi Making Experience in Takayama. At this unique workshop, you&#39;ll learn the art of transforming steamed glutinous rice into chewy mochi, a symbol of celebration and good fortune. Guided by a local host, you&#39;ll pound rice using traditional tools, shaping it into delightful treats complemented by toppings like kinako and sweet red bean paste. Set in a tranquil temple, this activity fosters community and joy, allowing you to connect with Japan&#39;s culinary heritage while creating delicious memories with loved ones.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,9,29,12,47,22,556861794],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",36.1387412,137.2544698,506-0025,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F63bf79c4-71bd-4870-be66-7c3d9e76642c.jpg
1104875,瞑想G,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><strong>The monk of Zenkouji, Kaiji, will guide you through a meditation experience. Beginners are more than welcome, with detailed explanations and breathing techniques provided. Experience the Buddhist meditation ritual to compose yourself.</strong></p>",,36.13872116,137.2544698,506-0025,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F5557dd26-8cdc-4b4e-a26e-fb9e6fe1abbb.jpeg
1107834,善光寺ツアー,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">高山善光寺の本堂内部を、物語・教え・歴史でめぐる少人数ガイドツアーです。<br />民話「牛に引かれて善光寺参り」からはじまり、一光三尊像の意味をわかりやすく解説。クライマックスは灯りのない地下回廊「戒壇めぐり」。右手で壁を伝いながら進み、「極楽の錠前」に触れてご縁を結ぶ象徴的な体験をお届けします。</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,10,30,2,52,53,727084621],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]},{""id"":null,""created"":[2025,10,30,2,52,53,727094075],""guidanceType"":""READING_MATERIAL"",""languages"":[""en""],""displayLanguages"":[]}]}",36.1387412,137.2544698,506-0025,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F6c5a9f92-d7f2-420e-b223-8d5aedeb572d.jpeg
