"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
974280,Osaka Private Transfer To/From Kansai Airport (KXI),"Comfortable, door-to-door transfer between Tokyo and Narita. Licensed, insured vehicles. Easy contact. <br/><br/>✅ Real-time chat and email support before and during your trip (no phone needed)<br/>✅ Flight tracking included—we monitor your actual landing time to adjust pickup accordingly<br/>✅ Complimentary Meet & Greet—your driver will welcome you inside the arrival hall with a name sign<br/>✅ Direct WhatsApp contact from your driver on the day of service<br/>✅ Fully licensed, insured vehicles with professional drivers<br/><br/>Whether you're arriving or departing, you’ll enjoy reliable service, clear communication, and a worry-free ride from start to finish.","{""guidanceTypes"":[]}",34.43694737,135.2420691,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2F7400f797-1330-4b4f-85ea-b277acb64ed7.jpg
974288,Tokyo ⇆ Haneda Airport Private Transfer 1-way or Roundtrip,"Up to 5 people ¥15800 JPY for a private transfer between Haneda Airport (HND) and central Tokyo-Shibuya, Shinjuku and more- Choose a one-way ride or book a round-trip to unlock special discounts.<br/><br/>• Driver tracks your flight and waits up to 90 minutes after landing, or 30 minutes from your selected time.<br/>• Add-ons available: booster seats, name sign pick-up at the arrival hall<br/>• Door-to-door pickup at your Tokyo hotel or address.<br/>• Email/chat support available for any questions before your trip.<br/>• Clean, insured vehicles and professional drivers.<br/><br/>Simple, stress-free, and great value for travelers who want everything arranged ahead of time.","{""guidanceTypes"":[]}",35.55068381,139.7866195,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2F4743eee7-4c92-4e72-ba3b-1eb27915af65.jpg
974289,Narita Airport(NRT) Private Transfer To/From Tokyo 1-way or Round,"Up to 5 people ¥23800 JPY for a private transfer between Narita Airport and central Tokyo-Shibuya, Shinjuku and more- Choose one-way or book round-trip and enjoy free Meet & Greet on arrival! Licensed, insured vehicles. Driver details shared one day before. Easy contact. Choose a one-way ride or book a round-trip to unlock special discounts.<br/><br/>• Driver tracks your flight and waits up to 90 minutes after landing, or 30 minutes from your selected time.<br/>• Add-ons available: booster seats, name sign pick-up at the arrival hall<br/>• Door-to-door pickup at your Tokyo hotel or address.<br/>• Email/chat support available for any questions before your trip.<br/>• Clean, insured vehicles and professional drivers.<br/><br/>Simple, stress-free, and great value for travelers who want everything arranged ahead of time.","{""guidanceTypes"":[]}",35.76627713,140.3864237,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2F3469feae-f29a-44ab-a0ac-492833abd1f7.jpg
1008380,Tokyo 5-Hour Private Car Tour with NRT/HND Airport Transfer,"Enjoy a flexible 5-hour private car tour with a one-way transfer from or to Narita or Haneda Airport. Ideal for arrivals, departures, or inter-airport transit—comfortable, convenient, and customizable.<br/><br/>【Arrival Transfers】<br/>Start your Tokyo visit with a private ride from the airport. Your 5-hour service begins at your selected pickup time. Drop luggage at your hotel or head straight to your preferred sights—your choice.<br/><br/>【Departure Transfers】<br/>Spend your last few hours in Tokyo sightseeing, shopping, or dining before a smooth drop-off at Narita or Haneda. A relaxing way to wrap up your trip.<br/><br/>【Narita ⇄ Haneda Transfers】<br/>Have a layover between airports? Enjoy a stress-free inter-airport transfer with optional sightseeing, time permitting.<br/><br/>Total Duration: 5 hours.<br/>Note: Additional fees apply for overtime beyond 5 hours.","{""guidanceTypes"":[]}",35.55068381,139.7866195,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fb8b735f1-c66d-47ee-932f-a3d6146f1cef.jpg
1017161,"Yokohama Private Transfer: Tokyo City, Narita and Haneda Airport","From ¥18,880 JPY for a private transfer (up to 5 people) between Yokohama city hotels or Yokohama port and Narita Airport (NRT), Haneda Airport (HND), or central Tokyo.<br/><br/>• Direct door-to-door transfer with no shared rides or unnecessary stops.<br/>• Driver information will be provided before your trip; WhatsApp communication available on the travel day for easy coordination.<br/>• Clean, insured vehicles operated by professional drivers.<br/>• Ideal for cruise travelers and visitors needing a stress-free private transfer between Yokohama, Tokyo, and major airports.","{""guidanceTypes"":[]}",35.45551435,139.6377417,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2F362a330d-278c-4ff0-842e-37acc93f2ead.jpg
1019252,Nagoya Airport (NGO/NKM) to/from Nagoya City Private Transfer,"Travel easily between Chubu Centrair Airport (NGO) and Nagoya city with our private transfer service.<br/><br/>Whether you need an airport pick-up or a hotel drop-off, we’ve got you covered.<br/><br/>Your driver will track your flight if you're arriving, meet you with a name sign, or pick you up directly from your hotel.<br/><br/>Communication is easy through WhatsApp on the day of travel.<br/><br/>Our clean, insured vehicles are sized based on your total luggage for a comfortable ride.<br/><br/>Enjoy a direct, private transfer — no shared rides, no hidden fees — perfect for anyone looking for a reliable Nagoya airport transfer or Centrair to Nagoya private transfer.","{""guidanceTypes"":[]}",34.86006509,136.8153928,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2F6403e11b-ea5a-4a4c-aa87-5de3fe5a1613.jpg
1030337,Mt Fuji Private 8 Hour Car Tour with Airport Pickup or Drop-off,"Skip the stress of navigating trains after a long flight. Our private airport transfer and Mt. Fuji charter service takes you straight from Narita or Haneda to the heart of Japan’s most iconic destination — Mt. Fuji.<br/><br/>No transfers. No dragging luggage. Just a smooth, private ride in a clean, air-conditioned Alphard or Hiace, with a professional driver.<br/><br/>Whether you're heading to a lakeside ryokan in Kawaguchiko, a hotel in Fujiyoshida, or an outlet mall in Gotemba, we’ll get you there directly, safely, and comfortably. This is ideal for:<br/><br/>▪︎ Families and groups with luggage<br/>▪︎ Couples on a relaxing getaway<br/>▪︎ First-time visitors to Japan<br/>▪︎ Anyone who wants to enjoy the view, not figure out directions<br/><br/>We offer fixed pricing, door-to-door pickup, and timed service — the driver arrives when you request, waits up to 30 minutes for airport pickups, or 15 minutes at hotels.<br/><br/>Planning to head back to the airport from Mt. Fuji? We’ve got you covered with return service too.","{""guidanceTypes"":[]}",35.30030743,138.9346699,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fafdce403-3bc7-409f-990e-97ff01283edd.jpg
1036583,Nara/Kobe Private Transfer : Osaka City or Kansai Airport(KXI),"From ¥27,880 JPY for a private transfer (up to 5 people) between Nara or Kobe and Kansai Airport (KIX) or Central Osaka.<br/><br/>Flight Tracking & Meet-and-Greet<br/>Includes real-time flight monitoring, 90 minutes of free wait time after landing, and a name sign at arrivals for easy pickup.<br/><br/>Door-to-Door Convenience<br/>Avoid crowded trains and confusing transfers. Travel directly from your hotel to the airport (or vice versa) — no maps, no stress.<br/><br/>Private Ride with Luggage Assistance<br/>Enjoy a clean, air-conditioned vehicle reserved for your group. The driver will assist with luggage. Child booster seat available upon request.","{""guidanceTypes"":[]}",34.68073121,135.8191939,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fbb8512bb-e465-4011-9e4b-90e0039eadcb.jpg
1059276,Private Tokyo Night Time Sightseeing Ride 3 Scenic Route Options,"Enjoy Tokyo’s dazzling skyline on your terms. This private night transport service is designed for travelers who want to explore the city’s iconic lights in comfort and at their own pace — without the need for a tour guide.<br/><br/>3 Night View Routes to Choose From<br/>• Route A – City Icons: Tokyo Tower, Roppongi Hills, Shibuya Crossing<br/>• Route B – Bayside View: Skytree view, Rainbow Bridge, Odaiba<br/>• Route C – Skyscraper Lights: Shinjuku, Tokyo Metropolitan Government, Marunouchi<br/><br/>Flexible Pickup & Drop-off<br/>Choose your own starting and ending locations anywhere within Tokyo’s 23 wards.<br/><br/>Photo-friendly stops<br/>Each stop allows 10–15 minutes for photos and exploration. No rush, just the view.<br/><br/>No guide required<br/>Ideal for independent travelers who prefer a private car and a quiet ride.<br/><br/>Clean, comfortable vehicles<br/>Ride in a Toyota Alphard, Hiace or similar—perfect for couples, families, or groups.<br/><br/>Easy communication<br/>Driver contacts you via WhatsApp on the day of your ride. Just sit back and enjoy.","{""guidanceTypes"":[]}",35.6812254,139.7692813,,,https%3A%2F%2Fbokun.s3.amazonaws.com%2Faf720b0f-da2e-4348-b52d-9ad74e1c7daf.jpg
1087254,Fukuoka (FUK) Airport to/from City Private Transfer – One Way,"Worry-Free Arrival – Flight tracking included, with 90 minutes free waiting time after landing.<br/><br/>Easy Meet & Greet – Driver waits at the airport arrival hall with a signboard displaying your name.<br/><br/>Private, Direct Service – Door-to-door transfers between Fukuoka Airport and your hotel or destination, no shared rides.<br/><br/>Family-Friendly – Child booster seats (for 3-6 years) available on request for safe travel with little ones.<br/><br/>Luggage Assistance – Your driver will help load and unload bags for a smooth start to your trip.<br/><br/>Comfortable Ride – Travel in a clean, air-conditioned private vehicle with professional driver.","{""guidanceTypes"":[]}",33.5849988,130.4490906,812-0003,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fabfa5de5-7505-4b83-af71-ed0ed1333e80.jpg
