"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
245290,Shirakawago (UNESCO world heritage) / Onsen / Hiking Waterfall / 1day Tour,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Shirakawa-go, a world heritage site that you should see once when you visit this region. Then hiking to enjoy nature-rich Takayama. You can be very satisfied because there are full-scale hot springs with beautiful facilities around Takayama City where there are many hot springs and you can go to various places all day long. Upon request, you can experience the scenery that appears in Japanese anime. Others are also available upon request.<br />Please bring the following few luggages.<br />Towel for hot spring/ shoes for hiking</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">This tour will use public bus. you  need following bus fee (Dec.2022price) other than tour cost</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">・Takayama ⇄ Shirakawa 4600JPY/person</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">・Takayama ⇄ Hirayu 3200JPY/person</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">But if you need taxi or bus we will arrange it.<br /><br />we do this tour by English guide. Please let us inform when you need other language guide.<br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Sometimes we will do this tour for group if you want to do this tour as private </p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">Please let us know.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2022,12,23,2,46,49,449000000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""]}]}",36.261995,136.9068825,501-5627,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F2571e9e2-4c62-40db-b9a0-6761aa2c111f.jpg
245291,Takayama oldtownship walking tour with local guide. (About 70min),"You can experience History and culture of Takayama.<br/>This is walking tour around oldtownship in Takayama city.<br/>local guide could satisfy you!!!<br/>If you need other language guide, please let us know.<br/>If you wanted to private tour let us know.<br/>Not less than 2 person.<br/> Please call us(+81 70 4107 5301) if you want to do our tour within few hours.<br/>If it's raining possible to do this tour.","{""guidanceTypes"":[{""id"":null,""created"":[2019,11,8,15,33,12,223000000],""guidanceType"":""GUIDED"",""languages"":[""en""]}]}",36.14145204,137.259804,506-0845,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fe6301366-f140-48b3-b13a-48bd4ee6e583.jpg
245292,Hiking tour around Takayama city (About 3 hours),"You can enjoy wonderful hiking in nature-rich Takayama. You can be very satisfied because you can see Big beautiful water fall and Big tree(more than 1000 years old) in just 1 hour. Upon request, you can go to special hot spring.<br />(but you need additional fee)<br />Of course you can change our start time.<br /><br />Please bring the following few luggage.<br />Towel for hot spring/ shoes for hiking/rainwear (if you need)<br /><br />we do this tour by English guide. Please let us inform when you need other language guide.If it&#39;s raining possible to do our tour.<br />Not less than 2 person.<br />we can arrange other your private tour.(e.g. Kamikochi, Inside Takayama city,etc..)","{""guidanceTypes"":[{""id"":null,""created"":[2019,11,8,15,33,22,597000000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""]}]}",36.19095067,137.5516781,506-1433,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F5efeef39-4f90-48ec-a5c2-97fb771212c5.jpg
245293,Hot spring / Onsen tour around Takayama city (About 3 hours),"You can enjoy wonderful hot spring in nature-rich Takayama. You can be very satisfied because you can enjoy put in the nature beautiful hot spring. Upon request, you can go to special hiking course.<br/>(you need additional fee)<br/>usually japanese people put in hot spring naked but we can take you to place where you can put in nature hot spring with swimsuit. <br/><br/>Of course you can change our start time.<br/><br/>Please bring the following few luggage.<br/>Towel for hot spring<br/><br/>we do this tour by English guide. Please let us inform when you need other language guide.If it's raining possible to do our tour.<br/>Not less than 2 person.<br/>we can arrange other your private tour.(e.g. Kamikochi, Inside Takayama city,etc..)","{""guidanceTypes"":[{""id"":null,""created"":[2019,11,8,21,19,12,733000000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""]}]}",36.19094851,137.5516486,506-1433,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2Fb46755eb-b167-40d7-9e72-42905977466a.jpg
245295,Takayama & Shirakawago 2 days tour,"You can satisfied completely this Hida Takayama& Shirakawa-go area within 2 days with special local guide.<br/><br/>-1 day-<br/>Shirakawa-go(UNESCO world heritage site 2hours walking) / <br/>Lunch in restaurant(include fee)/<br/>Big fall +Big tree(Hiking about 1hour) /<br/>Hot spring in nature.<br/>- 2 day-<br/>Higashiyama walking course(walking 90min. you can see lot's of temples)/<br/>Lunch in restaurant(include fee)/<br/>Rickshaw ride (about 10min)/<br/>City side walking(90min)/<br/><br/>Please bring the following few luggages.<br/>Towel for hot spring/ shoes for hiking<br/><br/>we will do this tour by English guide. we also booking your hotel around this Takayama area if you need please let us know. Max 6 person.<br/><br/>please let us inform when you need other language guide.<br/>you can change our start time.<br/>we can arrange other your private tour.(e.g. Kamikochi, etc..)","{""guidanceTypes"":[{""id"":null,""created"":[2019,11,8,15,33,34,879000000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""]}]}",36.1410762,137.2513645,506-0053,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F631c5344-d671-4bf5-8377-6daf1582b035.jpg
245296,Takayama & Shirakawago 3 days tour,"You can satisfied completely this Hida Takayama& Shirakawa-go area within 3 days with special local guide.<br/><br/>-1 day-<br/>Shirakawa-go(UNESCO world heritage site 2hours walking) / <br/>Lunch in restaurant(include fee)/<br/>Big fall +Big tree(Hiking about 1hour) /<br/>Hot spring in nature.<br/>- 2 day-<br/>Higashiyama walking course(walking 90min. you can see lot's of temples)/<br/>Lunch in restaurant(include fee)/<br/>Rickshaw ride (about 10min)/<br/>City side walking(90min)/<br/>- 3 day-<br/>Mount-Deus mountain(2hours hiking)/<br/>Lunch in restaurant(include fee)/<br/>Ogenji temple(15 min.)/<br/>Garyu Park(20 min.)/<br/>Suimu Shrine(30 min.)<br/><br/>Please bring the following few luggages.<br/>Towel for hot spring/ shoes for hiking<br/><br/>we will do this tour by English guide. we also booking your hotel around this Takayama area if you need please let us know. Max 6 person.<br/><br/>please let us inform when you need other language guide.<br/>you can change our start time.<br/>we can arrange other your private tour.(e.g. Kamikochi, etc..)","{""guidanceTypes"":[{""id"":null,""created"":[2019,11,8,15,33,48,410000000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""]}]}",36.1410762,137.2513645,506-0053,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F1ccdf73e-1f6e-404a-a7c8-4b3d4fad6e39.jpg
245297,Sake Brewery Tour in Takayama ,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Takayama city had 56 brewers more than 300 years ago. Good water and good environment made lot&#39;s of Sake brewer.<br /><br />Now there are 7 brewers inside 200m area remain cityside of Takayama.<br />(This density is very rare things in all over the world.)<br />You can see in the old sake brewery in our tour.<br /><br />If you need other language guide, please let us know.<br />(e.g. Italian,Spanish,Chinese...)<br />If you wanted to private tour let us know.<br />Not less than 2 person.<br />Under Japanese law, alcoholic beverages under the age of 20 are not allowed.<br /><br />Please call us(&#43;81 70 4107 5301) if you want to do our tour within few hours.<br />If it&#39;s raining/snowing possible to do this tour.</p>","{""guidanceTypes"":[{""id"":null,""created"":[2019,11,8,15,34,0,708000000],""guidanceType"":""GUIDED"",""languages"":[""en""]}]}",36.14145863,137.2598357,506-0845,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F3b13413b-7e93-41dc-a1dd-c60163ae0990.jpg
245299,Special Food tour in Takayama,"You can experience not only History and culture but also local food of Takayama.<br/>but not include food(may be you need 1-2 thousands yen) and experience of making Rice cracker.(400yen)<br/><br/>sometimes Rice cracker factory suddenly rest, so we need confirm if it's possible to do making rice cracker <br/><br/>This is walking tour around in Takayama city.<br/>local guide could satisfy you!<br/>If you need other language guide, please let us know.<br/>If you wanted to private tour let us know.<br/><br/>Not less than 2 person.<br/> Please call us(+81 70 4107 5301) if you want to do our tour within few hours.<br/>If it's raining possible to do this tour.","{""guidanceTypes"":[{""id"":null,""created"":[2019,11,8,15,34,7,116000000],""guidanceType"":""GUIDED"",""languages"":[""en""]}]}",36.1415373,137.2599215,506-0845,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F968426b3-7b68-410b-8a82-d2c784b9f402.jpg
245300,Hiking + Ropeway (special mountain view!),"You can enjoy wonderful hiking in nature-rich Takayama. You can be very satisfied because you can see Big beautiful water fall and Big tree(more than 1000 years old) in just 1 hour. And you can experience great mountain view on top of Ropeway.(not include Ropeway fee and guide will waiting Ropeway station while you enjoying great view.)<br/>Upon request, you can go to special hot spring.<br/>(but you need additional fee)<br/>Of course you can change our start time.<br/><br/>Please bring the following few luggage.<br/>Towel for hot spring/ shoes for hiking/rainwear (if you need)<br/><br/>we do this tour by English guide. Please let us inform when you need other language guide.If it's raining possible to do our tour.<br/>Not less than 2 person.<br/>we can arrange other your private tour.(e.g. Kamikochi, Inside Takayama city,etc..)","{""guidanceTypes"":[{""id"":null,""created"":[2023,3,1,6,9,26,669000000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""]}]}",36.2857919,137.5752622,506-1421,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F17037830-2e46-4602-9296-fa6302af6065.jpg
245302,Takayama walking tour & Hida Folk Village,"You can experience History and culture of Takayama.<br/>This is walking tour around oldtownship in Takayama city.<br/>local guide could satisfy you!!!<br/>After walking tour our guide will take you to Hida Folk village.<br/>(Not include entrance fee of Hida Folk village)<br/>Guide not enter the Hida Folk village and tour dissolution at Hida Folk village.<br/><br/>If you need other language guide, please let us know.<br/>If you wanted to private tour let us know.<br/>Not less than 2 person.<br/> Please call us(+81 70 4107 5301) if you want to do our tour within few hours.<br/>If it's raining possible to do this tour.","{""guidanceTypes"":[{""id"":null,""created"":[2022,11,10,2,38,55,797000000],""guidanceType"":""GUIDED"",""languages"":[""en""]}]}",36.1415373,137.2599215,506-0845,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F481e9f05-d219-4546-af75-17f9e9184e32.jpg
