"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
77645,Rental Hybrid Bikes at Shizuoka Station (24 gears: Not e-bikes) ,"Fashionable and comfortable rental hybrid bikes from JR Shizuoka Station (1 hour by bullet train from Tokyo Station) <br/>(Louis Garneau Chasse or  Merida Crossway) <br/>We can suggest some recommended courses which is suitable for your interests. <br/>(along river, along sea, green tea farm in countryside, historical shrine, e.t.c)","{""guidanceTypes"":[]}",34.97140283,138.3886723,4200851,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F760b0fc2-bf34-4f6b-a04a-f95aea40e92b.jpg
103154,Guided Hybrid Bike Tour in Shizuoka City (Note: not e-bikes),"We focus on our countryside area that travelers from abroad never know.<br/><br/>Only well known to local cycling lovers. We made safety course that traffic is not heavy.<br/><br/>Total 30km cycling (4.0 hour )　 We offer cycling that runs slowly.<br/><br/>(Morning tour 9:00-13:00, Afternoon tour 13:00-17:00,) <br/><br/>You can enjoy <br/><br/>1.Beautiful view of Mt.Fuji over deep blue Suruga Bay. (Please note that it depends on the weather.)<br/><br/>2.Beautiful view of typical Japanese countryside of wide rice fields.<br/><br/>3.Safety bike tour along a beautiful river.<br/><br/>4.Can take photos of long established Japanese restaurant ""Chojiya"" since 1596.<br/><br/>5.An old village and street since 17th century.","{""guidanceTypes"":[{""id"":null,""created"":[2022,12,22,7,25,32,647000000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""]}]}",34.97142352,138.3882159,4200851,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F3644bd19-22cc-473f-b7bd-d46860740ea1.jpg
300497,Mt.Fuji area Tour from Shimizu Port / Van Taxi,"Our most popular shore excursion for cruise ship passengers who call at Shimizu Port.<br/>A comfortable van taxi (jumbo taxi) will take you to 3 popular spots concerned with Mount Fuji in 5 hours<br/>Knowledgeable and friendly licensed English speaking guide<br/>Wheelchair equipped cars are also available on your request.<br/>These 3 destinations are accessible by wheelchair.<br/>(Note: At Shiraito Falls, they need to view the falls from observation space for wheelchair users.) If your ship can not arrive at Shimizu Port due to bad weather, we refund you 100% of the price.<br/><br/>Note: If you have wheelchairs or strollers, please let us know with the number and its size.","{""guidanceTypes"":[{""id"":null,""created"":[2022,12,17,7,0,24,506000000],""guidanceType"":""GUIDED"",""languages"":[""en""]}]}",34.9968733,138.494963,4240922,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F8a142cb8-c25d-4a1d-8e9f-8abe77572588.jpg
300499,Private sightseeing tour from Shimizu Port / Van Taxi,"By participating this tour, you can visit 3 most popular spots around Shimizu. 1. Nihondaira Plateau (Green tea field and Mt.Fuji view at Nihondaira Ocha Kaikan, Nihondaira Yume Terrace Observatory, Spectacular view from Nihondaira ropeway) 2. Kunozan Toshogu Shrine a brilliant national treasure shrine. This beautiful shrine is for giving worship to Tokugawa Ieyasu, the first shogun of the Edo period. 3. Miho Beach (Miho Pine Tree Grove= a part of Mt.Fuji World Heritage, Miho no Matsugara Culture & Creativity Center)<br/> Our reliable licensed English guides who live in this area will guide you. They have a lot of knowledge about this area. We provide this tour by a comfortable jumbo taxis (van taxis). <br/><br/>Regarding to the starting time, we recommend you to start earlier as possible to reduce the risk to line up for the ropeway.<br/><br/>Note: If you have wheelchairs or strollers, please let us know the number and its size.","{""guidanceTypes"":[{""id"":null,""created"":[2020,1,18,9,27,26,150000000],""guidanceType"":""GUIDED"",""languages"":[""en""]}]}",35.0091047,138.4969334,424-0922,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Ff9994460-7d7d-4969-ae61-50de825657df.jpg
383915,Mt.Fuji area tour from Shizuoka Station / Van Taxi,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">We will take you to</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Lake Tanuki (one of the most popular view spot of Mt.Fuji)</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Shiraito &amp; Otodome Falls (Mt.Fuji World Heritage)</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">Fujisan Hongu Sengen Shrine (Mt.Fuji World Heritage)</p>","{""guidanceTypes"":[{""id"":null,""created"":[2024,6,29,8,18,21,579257000],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",34.971134,138.38983,420-0851,JP,http%3A%2F%2Fbokun.s3.amazonaws.com%2F04b9c269-1941-4339-819e-f9861643efb4.jpeg
734441,Guided Bike Tour to a Green Tea Farm in Shizuoka (not e-bikes),"This guided bike tour starts from JR Shizuoka Station.<br/>This tour is not for cruise ship passengers who call at Shimizu Port.<br/>The location is different.<br/>We serve comfortable well maintenanced hybrid bikes.(Note: not e-bikes)<br/>A friendly local bike guide who knows a lot about Shizuoka will guide you.<br/>We head to a small green tea farm in a countryside area of Shizuoka.<br/>(about 1 hour cycling to the farm)<br/>At the tea farm, explanation about tea farm by the farmer, enjoy taking photos in their farm, move to the farmer's 150 years old house, enjoy (option A) tasting of several kinds of tea such as green tea, oolong tea, roasted tea, black tea all made by this farmer. (option B) If you prefer tasting of several kinds of green tea (sencha) only, it is also possible. Please let us know which tasting (A or B) you want to do by leaving your comment. Stay at the farmer's house about 1 and a half hour. Go back to JR Shizuoka Station via Shizuoka Sengen Shrine, Sumpu Castle Park. <br/> ","{""guidanceTypes"":[{""id"":null,""created"":[2022,12,22,7,25,48,706000000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""]}]}",34.97142352,138.3882159,4200851,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F0b4a823c-821f-4702-9ab0-05c7756b2451.jpg
776106,Private Sightseeing Tour from Shimizu Port /Small Bus ,"This tour will take you to 3 most popular spots around Shimizu. 1, Nihondaira Plateau (Green tea field and Mt. Fuji view at Nihondaira Ocha Kaikan, Nihondaira Yume Terrace Observatory, Spectacular view from Nihondaira ropeway) 2, Kunozan Toshogu Shrine a brilliant national treasure shrine. This beautiful shrine is for giving worship to Tokugawa Ieyasu, the first shogun of the Edo period. 3, Miho Beach (Miho Pine Tree Grove) a part of Mt. Fuji World Heritage, Miho no Matsugara Culture & Creativity Center).<br/><br/>We can accommodate a maximum of 15 travelers per tour.<br/>Regarding to the starting time, we recommend you to start earlier as possible to reduce the risk to line up for the ropeway.<br/><br/>Note: If you have wheelchairs or strollers, please let us know the number and its size.","{""guidanceTypes"":[{""id"":null,""created"":[2023,6,14,9,36,42,19147000],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",35.0090715,138.496924,424-0922,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F669d51ba-fd8a-4a23-b565-66bbb0b7a70e.jpg
830123,Private Sightseeing Tour from Shimizu Port / Sedan Taxi,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">By participating this tour, you can visit 3 most popular spots around Shimizu. 1. Nihondaira Plateau (Green tea field and Mt.Fuji view at Nihondaira Ocha Kaikan, Nihondaira Yume Terrace Observatory, Spectacular view from Nihondaira ropeway) 2. Kunozan Toshogu Shrine a brilliant national treasure shrine. This beautiful shrine is for giving worship to Tokugawa Ieyasu, the first shogun of the Edo period. 3. Miho Beach (Miho Pine Tree Grove&#61; a part of Mt.Fuji World Heritage, Miho no Matsugara Culture &amp; Creativity Center)<br />Our reliable licensed English guides who live in this area will guide you. They have a lot of knowledge about this area. We provide this tour by a comfortable sedan taxis.  The capacity of a sedan taxi is up to 3 guests &#43; a guide. However please note all guests need to sit on the rear seat of a sedan taxi. We created this tour for couples. It is not enough space for 3 big guests on the rear seat.<br /></p>","{""guidanceTypes"":[{""id"":null,""created"":[2020,1,18,9,27,26,150000000],""guidanceType"":""GUIDED"",""languages"":[""en""]}]}",35.0091047,138.4969334,424-0922,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Ff9994460-7d7d-4969-ae61-50de825657df.jpg
831018,Private Sightseeing Tour from Shimizu Port / Sedan Taxi,"We will take you to 3 most popular spots around Shimizu. <br/>1. Nihondaira Plateau (Green tea field and Mt.Fuji view at Nihondaira Ocha Kaikan, Nihondaira Yume Terrace Observatory, Spectacular view from Nihondaira ropeway) <br/>2. Kunozan Toshogu Shrine a brilliant national treasure shrine. This beautiful shrine is for giving worship to Tokugawa Ieyasu, the first shogun of the Edo period. <br/>3. Miho Beach (Miho Pine Tree Grove= a part of Mt.Fuji World Heritage, Miho no Matsugara Culture & Creativity Center)<br/><br/>Regarding to the starting time, we recommend you to start earlier as possible to lower the risk to line up for the ropeway.<br/><br/>Note: Though the capacity of a sedan taxi is 3 guests + a guide, we recommend this tour for up to 2 guests + a guide. It is small for 3 big people to sit in the rear seat. In this case, we recommend to choose our van taxi tour.<br/><br/>Note: If you have a wheelchair or a stroller, please let us know its size.","{""guidanceTypes"":[{""id"":null,""created"":[2024,1,8,14,37,44,887726000],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",35.0090715,138.496924,424-0922,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F88b8f7f0-25b1-4b5b-bfcc-1dca4bb5e52f.jpg
883337,Step-Free Easy going tour from Shimizu Port / Van Taxi,"This tour take you 3 popular spots around Shimizu. 1. Nihondaira Plateau (Green tea field and Mt.Fuji view at Nihondaira Ocha Kaikan, Nihondaira Yume Terrace Observatory, 2. Ryugeji-Temple, a beautiful small temple with its famous Cycas revoluta. . 3. Miho Beach (Miho Pine Tree Grove= a part of Mt.Fuji World Heritage, Miho no Matsugara Culture & Creativity Center)<br/> Our reliable licensed English guides who live in this area will guide you. They have a lot of knowledge about this area. We provide this tour by a comfortable jumbo taxi (a van taxi). <br/>We made this tour especially for people who are not good at walking stairs to visit Kunozan Toshogu Shrine or people who do not like taking ropeway.<br/><br/>Note: You need to pay the admission fee to Ryugeji temple by Japanese Yen cash. When you enter inside of the building, you need to take your shoes off.<br/><br/>If you have wheelchairs or strollers, please let us know the number and its size.","{""guidanceTypes"":[{""id"":null,""created"":[2024,6,22,4,19,9,3124000],""guidanceType"":""GUIDED"",""languages"":[""en""],""displayLanguages"":[]}]}",35.0090783,138.4969397,424-0922,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F5903d519-7b5b-440f-806a-8a7eccb5f657.jpg
