"ID",Title,Description,Guidances,Latitude,Longitude,Postal code,Country code,images
814917,"Mondo's most popular plan! Experience making soba noodles and the king of Japanese cuisine, tempura, in Sapporo!","Soba and tempura are traditional Japanese foods, each with its own unique charm.<br/><br/>Soba and tempura are not only delicious on their own, but when eaten together, they create a synergistic effect, providing an even more enjoyable dining experience.<br/><br/>Tempura is a dish made by coating vegetables and seafood with batter and frying them, and the crispy texture of the batter and the flavor of the ingredients are an exquisite match. Typical ingredients include shrimp, eggplant, seasonal vegetables, and local ingredients.<br/><br/>Hokkaido is the most famous soba producing area in Japan. Hokkaido's climate and soil conditions are suitable for growing soba, so high-quality soba is produced. Areas known for particularly delicious soba include the Tokachi region and the Furano region.<br/><br/>Hokkaido soba is flavorful and chewy, and its taste is loved by many people. In Hokkaido, there are many dishes using soba, and you can enjoy it in combination with local specialties and seasonal ingredients, or in a unique cooking method.<br/><br/>Hokkaido soba cuisine is a luxurious experience that allows you to enjoy local ingredients and culture. Therefore, it is also popular with tourists visiting Hokkaido. A soba noodle experience in Hokkaido is a good opportunity to gain a deeper understanding of Japanese soba culture and enjoy the local flavors.<br/><br/>The soba noodle making experience lasts about 30 minutes. After that, you can taste the soba and tempura you made.<br/>The whole experience will take about 1 hour and 30 minutes.<br/>Even small children can easily and enjoy making soba.<br/>You don't need to bring anything or prepare anything. Please feel free to come.<br/>We hope you enjoy it as a commemorative Hokkaido dinner.<br/>*Children under 2 years old are free.<br/><br/>For group customers<br/>Please feel free to contact the store directly.","{""guidanceTypes"":[{""id"":null,""created"":[2023,11,7,1,58,17,385683000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",43.0884805,141.2808219,063-0826,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Fe0ab7dec-0825-4263-8835-eb9f8b750c00.jpg
814919,in Sapporo! Hand-made soba experience and shabu-shabu experience plan of Yezo deer meat (Gibier meat) from Hokkaido,"Soba has been a popular staple food in Japan since the Edo period. This is an experience plan where you can make soba noodles, a classic Japanese dish, from scratch and sample them yourself. The soba experience is a popular experience even among Japanese people. You can even experience the traditional way of eating soba in Japan. Also, this plan is a Hokkaido sika deer meat shabu-shabu (game meat) set plan. It's great for a dinner with memories of Hokkaido. Please experience it as a memory of Japan.<br/><br/>Our store is usually a popular handmade soba restaurant in Sapporo City.<br/>The soba craftsman will happily support you during the experience.","{""guidanceTypes"":[{""id"":null,""created"":[2023,11,7,1,58,32,482720000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",43.0884805,141.2808219,063-0826,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F23dc1d31-55af-49ed-a97d-81f707f4e814.jpg
814920,"Popular NO2! Fully enjoy Hokkaido, fully enjoy Japanese cuisine, soba-making experience, tempura, venison shabu-shabu set plan","A tradition from the Edo period! This is a plan where you can experience the Japanese soba making experience, from actually experiencing it to tasting it. In addition, after experiencing making soba noodles, you can enjoy Hokkaido-only sika deer meat shabu-shabu and tempura until the soba noodles are boiled.<br/>Shabu-shabu is a very popular food in Japan. A popular item along with Japanese sushi and tempura! Also, tempura is the king of Japanese food that everyone knows!<br/>Enjoy the soba you made yourself along with these two items.<br/><br/>Our store is usually a popular handmade soba restaurant in Sapporo City.<br/>The soba craftsman will happily support you during the experience.<br/>","{""guidanceTypes"":[{""id"":null,""created"":[2023,11,7,1,58,37,411304000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",43.0884805,141.2808219,063-0826,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F29a1b124-2bb2-44f3-ad48-fce330440602.jpg
814921,Recommended for familiesExperience of casual sushi!!Hand-rolled sushi experience of Hokkaido ingredients!,"Both hand-rolled sushi and sushi are ancient Japanese cultures, but hand-rolled sushi is highly recommended for families because it is easier and more enjoyable for children than sushi.<br/>Because it specializes in Hokkaido ingredients, everyone can enjoy and experience Japanese culture, including Hokkaido seafood, meat, and tempura.<br/>It is also known for its hon wasabi (Japanese horseradish), which can be enjoyed by all, regardless of whether you are an adult or a child, because you can also arrange food.<br/><br/>Hand-rolled sushi is an extension of sushi.<br/><br/>4 people or more<br/>Experience up to 14 people.<br/>If you have more than 15 people, please contact the store directly.<br/>It is also possible for group customers.","{""guidanceTypes"":[{""id"":null,""created"":[2023,11,7,1,58,44,591290000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",43.0884805,141.2808219,063-0826,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F7c30cccc-c4ed-4135-92d9-bc30f97ae59e.jpg
814922,"Experience traditional Japanese cuisine, making soba noodles in Sapporo, in a fun and casual way.","Our shop uses everything from buckwheat flour to binders from Hokkaido!<br/><br/>Hokkaido is the number one producer of buckwheat in Japan. Hokkaido is rich in nature and pure water, and these environments are suitable for growing buckwheat. In particular, the cold climate is suitable for growing high-quality buckwheat.<br/><br/>Hokkaido buckwheat is evaluated for its excellent flavor and texture. Buckwheat grown in Hokkaido is grown using mineral-rich water produced by the rich soil and cold climate. This results in buckwheat with a rich flavor and a firm texture.<br/><br/>Experience traditional Japanese cuisine from the Edo period, and the popular soba noodle making in a fun and casual way!<br/><br/>Now you can make the soba noodle making experience, which has been difficult to get into until now, more casually! More conveniently! Enjoy the soba making experience!<br/><br/>Sapporo Subway Tozai Line Miyanosawa Station Exit 6 3 minutes walk<br/><br/>4 parking spaces available in front of the store<br/><br/>You will have a full soba experience from making the soba to cutting it and tasting it.<br/>A soba craftsman will provide you with full support, so even beginners can feel at ease♪<br/>The soba you make yourself is much tastier than any other soba you have ever eaten.<br/><br/>Our shop is usually a popular hand-made soba shop in Sapporo.<br/>The soba craftsman will support you in a fun way during the experience.<br/><br/>Flow of the soba making experience<br/>① Mix the soba flour<br/>② Stretch the soba<br/>③ Cut the soba<br/>④ Taste the soba you made<br/>The actual soba making experience takes about 30 minutes. After that, you will taste the soba, and the entire experience will take about 1 hour and 15 minutes to complete.<br/>Even small children can easily and enjoy making soba.<br/>You don't need to bring anything or prepare anything. Please feel free to come.<br/><br/>Group customers and travel agencies should contact us directly.","{""guidanceTypes"":[{""id"":null,""created"":[2023,11,7,1,58,50,90123000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",43.0884805,141.2808219,063-0826,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2Ffe68aece-90c6-4b0f-981a-e818a031bcab.jpg
814923,A Japanese food experience plan in Sapporo where you can enjoy tempura and 3 types of Hokkaido-only sake along with a soba making experience,"Hokkaido boasts the highest production of soba in Japan<br/>You will enjoy making soba noodles, a tradition dating back to the Edo period using high-quality soba noodles.<br/>After the experience, the owner of the restaurant, who is a Japanese chef and a sake brewer, will serve you two types of seasonal sake.<br/><br/>Japanese people have a habit of drinking sake when eating soba.<br/>In Japan, it is called soba-mae.<br/>After enjoying soba-mae, finish off with soba.<br/>It is also common to order tempura as a set with soba.<br/>This combination of tempura, sake, and soba goes very well together, making it a well-balanced dish.<br/><br/>Our store is usually a popular handmade soba restaurant in Sapporo City.<br/>The soba craftsman will happily support you during the experience.<br/><br/>Recommended for good memories of your trip. We accept reservations for 2 or more people.","{""guidanceTypes"":[{""id"":null,""created"":[2023,11,7,1,58,55,452619000],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",43.0884805,141.2808219,063-0826,JP,https%3A%2F%2Fbokun.s3.amazonaws.com%2F668bd18b-eb43-4fd6-b419-1aa264fd35ae.jpg
935664,札幌で日本伝統の和食　蕎麦打ち体験　楽しく、気軽にできます。,"<p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>今まで敷居の高かった蕎麦打ち体験をもっと気軽に&#xff01;もっと手軽に&#xff01;</strong></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>エンジョイSOBA打ち体験&#xff01;  </strong></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">蕎麦打ちからそば切り、試食までの蕎麦体験を一通り行って頂きます。 蕎麦打ち職人がしっかりとサポートするので初めての方も安心♪ 自分で打ったお蕎麦は今まで食べたどのお蕎麦より格段に美味しいです。  当店は、通常、札幌市で人気の手打ち蕎麦店となります。 体験は蕎麦職人が楽しくサポートします。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">当店は、蕎麦粉からつなぎなど含めて全て北海道産を使用&#xff01;  北海道は蕎麦の生産日本&#xff11;。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">北海道は豊かな自然と清らかな水が豊富であり、これらの環境が蕎麦の栽培に適しています。特に、寒冷な気候が良質な蕎麦を育てるのに適しています。  北海道の蕎麦は、その風味と食感が素晴らしいと評価されています。北海道で栽培される蕎麦は、豊かな土壌と寒冷な気候が生み出すミネラル豊富な水を使って育てられます。これにより、蕎麦の実が風味豊かで、しっかりとした歯ごたえを持つ麺に仕上がります。  </p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>蕎麦打ち体験の流れ</strong></p><ol><li style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">そば粉を混ぜる</li><li style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">蕎麦を伸ばす</li><li style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">蕎麦を切る</li><li style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">自分で打った蕎麦を試食</li></ol><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">実際の蕎麦打ち体験時間は30分前後となります。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">その後試食となりすべての所要時間 1時間15分前後あれば全て終了となります。 </p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">小さいお子様でも気軽に楽しく蕎麦打ち出来ます。 </p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">持ち物や準備するものは一切いりません。お気軽に来てください。</p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em""><strong>アクセス</strong></p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">札幌　地下鉄　東西線　宮の沢駅　6番出口　徒歩&#xff13;分 店舗前駐車場&#xff14;台完備  </p><p style=""font-size:14px;line-height:1.6;color:rgb( 87 , 100 , 111 );margin-top:0.5em;margin-bottom:0.5em"">団体のお客様、旅行会社の方は直接お問合せ下さい。</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,1,22,2,21,18,744468500],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",43.0884761,141.2808289,,,http%3A%2F%2Fbokun.s3.amazonaws.com%2F750acd4e-e843-44b4-92be-b1a4592122c1.jpeg
938603,もんどの人気NO１！札幌で、そば打ち体験と和食の王様！天ぷらを楽しむプラン！,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">もんどのNO&#xff11;人気プラン&#xff01;和食の伝統、蕎麦打ち体験と天ぷらを楽しめるコースプランになります。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">蕎麦打ち体験をした後に、自分の打ったお蕎麦と、和食職人が作る天ぷらを頂くプランです。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">日本人は、蕎麦と一緒に天ぷらを食べる習慣があります。より多くのお客さんに日本の食を体験してもらいたいと思います。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">&#xff12;名様以上での開催となります。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">札幌地下鉄東西線　宮の沢駅　6番出口　徒歩&#xff13;分</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">お車でお越しの方は店舗前2台駐車場あり。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">そば打ち体験は日本人にも人気があります。そばは日本の伝統的な食べ物の一つであり、そばを自分で打つことはその文化を体験する良い方法です。そば打ち体験では、そば粉から生地を作り、麺を伸ばして切るという工程を学ぶことができますそば打ち体験を通じて、日本の食文化や伝統に触れることができます。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">蕎麦打ち体験の流れ</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">①そば粉を混ぜる</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">②蕎麦を伸ばす</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">③蕎麦を切る</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">④自分で打った蕎麦と職人が作った天ぷらを試食</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">実際の蕎麦打ち体験時間は30分前後となります。その後試食となりすべての所要時間</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">1時間15分前後あれば全て終了となります。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">小さいお子様でも気軽に楽しく蕎麦打ち出来ます。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">※問い合わせについて　当店はお昼の時間は手打ち蕎麦店として営業しているため、当日の問い合わせには出来ない場合があります。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">また、体験のスタート時間ですが、遅刻されると、他のスタート時間のお客様に迷惑をかける場合があります。スタート時間まで来られない場合は、無断キャンセル扱いとさせて頂きます。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">団体のお客様へ</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">お気軽に直接お問合せ下さい。</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,2,17,1,5,23,405539198],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",43.0884761,141.2808289,,,http%3A%2F%2Fbokun.s3.amazonaws.com%2F9a9ce580-d1c1-48e8-9db5-df3918199f66.png
942923,20歳以上限定！そば打ち体験と天ぷら、北海道限定日本酒3種が付いた大人のプラン！,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">今まで敷居の高かった蕎麦打ち体験をもっと気軽に&#xff01;もっと手軽に&#xff01;エンジョイSOBA打ち体験&#xff01;</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">さらに和食職人が天ぷらを調理し、唎酒師&#xff08;日本酒ソムリエ&#xff09;のスタッフがおすすめの北海道の日本酒&#xff13;点が付いた豪華な和食体験プラン&#xff01;</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">北海道で日本の江戸から続く蕎麦のみを自ら作った手打ち蕎麦で味わって下さい。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">日本人は蕎麦を食べる際に、日本酒を飲む習慣があります。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">日本ではそれを蕎麦前と言います。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">蕎麦前を楽しんだ後に、蕎麦で〆る。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">また、蕎麦と一緒に天ぷらをセットで頼む習慣も多くあります。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">この天ぷらと日本酒、蕎麦の食べ合わせは非常に合っていて、バランスよく食べれるのが特徴です。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">札幌地下鉄　東西線　宮の沢駅　6番出口　徒歩3分</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">白い恋人パークから徒歩圏内</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">蕎麦打ちからそば切り、試食までの蕎麦体験を一通り行って頂きます。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">蕎麦打ち職人がしっかりとサポートするので初めての方も安心♪</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">自分で打ったお蕎麦と和食職人の天ぷら、日本酒ソムリエ&#xff08;利酒師&#xff09;が選ぶ日本酒&#xff13;点を味わって下さい。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">当店には日本酒ソムリエがおり、食事に合った日本酒を提供できる免許を持っています。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">日本酒ソムリエが厳選した北海道の日本酒を提供&#xff01;さらに、季節などに合わせた温度での提供&#xff01;ソムリエだからわかる提供方法で和食とのコラボをお楽しみください。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">※問い合わせについて　当店はお昼の時間は手打ち蕎麦店として営業しているため、当日の問い合わせには出来ない場合があります。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">また、体験のスタート時間ですが、遅刻されると、他のスタート時間のお客様に迷惑をかける場合があります。スタート時間まで来られない場合は、無断キャンセル扱いとさせて頂きます。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">団体のお客様へ</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">お気軽にお問合せ下さい。</p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p><p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em""><br /></p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,1,22,2,47,52,867821852],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",43.0884761,141.2808289,,,http%3A%2F%2Fbokun.s3.amazonaws.com%2F17def43d-7894-4aca-a866-2c4a549e9362.jpeg
942931, 札幌で！手打ち蕎麦体験と北海道肉使用のしゃぶしゃぶが付いた体験プラン,"<p style=""font-size:14px;line-height:1.6;color:#57646f;margin-top:0.5em;margin-bottom:0.5em"">今まで敷居の高かったそば打ち体験をもっと気軽に&#xff01;もっとエンジョイSOBA体験&#xff01;と北海道産肉のしゃぶしゃぶプラン&#xff01;<br />北海道でしか味わえない豪華な体験型ランチ、ディナープラン&#xff01;<br />北海道の思い出に、日本の文化を体験してみては<br /><br />札幌地下鉄東西線　宮の沢駅　6番出口　徒歩3分<br />白い恋人パークからも徒歩圏内<br />中心部からアクセス良好<br />駐車場2台完備<br /><br />そば打ちからそば切り、試食までを一通り体験してもらいます。<br />そば打ち職人がしっかりとサポートするので、初めての方も楽しめます。</p>","{""guidanceTypes"":[{""id"":null,""created"":[2025,1,22,2,48,7,425483519],""guidanceType"":""GUIDED"",""languages"":[""en"",""ja""],""displayLanguages"":[]}]}",43.0884761,141.2808289,,,http%3A%2F%2Fbokun.s3.amazonaws.com%2F750acd4e-e843-44b4-92be-b1a4592122c1.jpeg
