content_id,content_category_id
MFDtvW-04JsLkeCD1_LTc,F72UQSSv5qnV6dGq2o8t-
MFDtvW-04JsLkeCD1_LTc,KcVqSqCqpBoUqNfNlAkE7
MFDtvW-04JsLkeCD1_LTc,L34snMa-YMz_jT9erQqe2
MFDtvW-04JsLkeCD1_LTc,-Q1NyL2hihfCdselYbnjo
MFDtvW-04JsLkeCD1_LTc,ncFeNw-5M4iGoDD-A8hBH
MFDtvW-04JsLkeCD1_LTc,Uzldz52slOyT_7tD9MSW3
MFDtvW-04JsLkeCD1_LTc,phlunt5HJ3fBcZXrezlHN
RtKWJF2VshNEFBqHgvx8f,phlunt5HJ3fBcZXrezlHN
RtKWJF2VshNEFBqHgvx8f,Uzldz52slOyT_7tD9MSW3
RtKWJF2VshNEFBqHgvx8f,n0OLj1cQnnbM3n-2eOzCj
o3VlAR1tD0LjUYNaVCjaG,Uzldz52slOyT_7tD9MSW3
o3VlAR1tD0LjUYNaVCjaG,L34snMa-YMz_jT9erQqe2
o3VlAR1tD0LjUYNaVCjaG,phlunt5HJ3fBcZXrezlHN
ilUwAxfDaSat7T5XNk-5a,F72UQSSv5qnV6dGq2o8t-
ilUwAxfDaSat7T5XNk-5a,PFEwpbxaA9UrKET8fDnAt
ilUwAxfDaSat7T5XNk-5a,-Q1NyL2hihfCdselYbnjo
ilUwAxfDaSat7T5XNk-5a,Uzldz52slOyT_7tD9MSW3
qwjbCrJ9Unn1rZzcoftqK,F72UQSSv5qnV6dGq2o8t-
qwjbCrJ9Unn1rZzcoftqK,n0OLj1cQnnbM3n-2eOzCj
qwjbCrJ9Unn1rZzcoftqK,mE5Zf1AWhRKDQNHC_NsmV
qwjbCrJ9Unn1rZzcoftqK,-Q1NyL2hihfCdselYbnjo
qwjbCrJ9Unn1rZzcoftqK,ncFeNw-5M4iGoDD-A8hBH
g5VmRZr-1EpTIpm64utIY,F72UQSSv5qnV6dGq2o8t-
g5VmRZr-1EpTIpm64utIY,ncFeNw-5M4iGoDD-A8hBH
g5VmRZr-1EpTIpm64utIY,phlunt5HJ3fBcZXrezlHN
zp-rNlp1ZWP8nIq9wsHnm,F72UQSSv5qnV6dGq2o8t-
zp-rNlp1ZWP8nIq9wsHnm,Uzldz52slOyT_7tD9MSW3
zp-rNlp1ZWP8nIq9wsHnm,PFEwpbxaA9UrKET8fDnAt
_5rIH1tLRpxBn-ZYSIGlR,Uzldz52slOyT_7tD9MSW3
_5rIH1tLRpxBn-ZYSIGlR,phlunt5HJ3fBcZXrezlHN
yCInci1KQ7Pwfd3ZMvN3m,phlunt5HJ3fBcZXrezlHN
yCInci1KQ7Pwfd3ZMvN3m,ncFeNw-5M4iGoDD-A8hBH
yD1PwkmMNMwgW0gLv23pI,Uzldz52slOyT_7tD9MSW3
yD1PwkmMNMwgW0gLv23pI,phlunt5HJ3fBcZXrezlHN
WgjpkKMbkiaXugCuyZz1d,F72UQSSv5qnV6dGq2o8t-
WgjpkKMbkiaXugCuyZz1d,n0OLj1cQnnbM3n-2eOzCj
WgjpkKMbkiaXugCuyZz1d,l9bkiReXBvPDuJX6TdvDu
WgjpkKMbkiaXugCuyZz1d,Uzldz52slOyT_7tD9MSW3
HtTQo3pyX7fLYIK4TjskZ,F72UQSSv5qnV6dGq2o8t-
HtTQo3pyX7fLYIK4TjskZ,iW3M5z9QsfI5jnVSJjr5j
HtTQo3pyX7fLYIK4TjskZ,-5F1wQ50bue4PA2khE3sM
E9rULpY-CmwP8Ar6dQp4r,F72UQSSv5qnV6dGq2o8t-
E9rULpY-CmwP8Ar6dQp4r,n0OLj1cQnnbM3n-2eOzCj
E9rULpY-CmwP8Ar6dQp4r,hbMworHLCdna9k7lGwgWG
w7b6RFO9IbCgq8eMdhBHC,F72UQSSv5qnV6dGq2o8t-
w7b6RFO9IbCgq8eMdhBHC,iW3M5z9QsfI5jnVSJjr5j
w7b6RFO9IbCgq8eMdhBHC,Uzldz52slOyT_7tD9MSW3
w7b6RFO9IbCgq8eMdhBHC,-Q1NyL2hihfCdselYbnjo
ojmVtW3366MnGgVFFcZrC,n0OLj1cQnnbM3n-2eOzCj
ojmVtW3366MnGgVFFcZrC,phlunt5HJ3fBcZXrezlHN
ojmVtW3366MnGgVFFcZrC,tqy6nsKbGDANBHHt7CQaG
ojmVtW3366MnGgVFFcZrC,Uzldz52slOyT_7tD9MSW3
ojmVtW3366MnGgVFFcZrC,ncFeNw-5M4iGoDD-A8hBH
cGRjsxky9EsZBZDu2ru4B,F72UQSSv5qnV6dGq2o8t-
cGRjsxky9EsZBZDu2ru4B,phlunt5HJ3fBcZXrezlHN
cGRjsxky9EsZBZDu2ru4B,hbMworHLCdna9k7lGwgWG
7PtLF5sv5WUyY_uQLJ8jC,F72UQSSv5qnV6dGq2o8t-
7PtLF5sv5WUyY_uQLJ8jC,n0OLj1cQnnbM3n-2eOzCj
7PtLF5sv5WUyY_uQLJ8jC,phlunt5HJ3fBcZXrezlHN
7PtLF5sv5WUyY_uQLJ8jC,-Q1NyL2hihfCdselYbnjo
7PtLF5sv5WUyY_uQLJ8jC,L34snMa-YMz_jT9erQqe2
mqHx7bkZ3skWx8seeRcgQ,phlunt5HJ3fBcZXrezlHN
mqHx7bkZ3skWx8seeRcgQ,n0OLj1cQnnbM3n-2eOzCj
mqHx7bkZ3skWx8seeRcgQ,mE5Zf1AWhRKDQNHC_NsmV
mqHx7bkZ3skWx8seeRcgQ,iW3M5z9QsfI5jnVSJjr5j
mqHx7bkZ3skWx8seeRcgQ,Uzldz52slOyT_7tD9MSW3
AlvPxhbDH-b9PfLPznpaI,l9bkiReXBvPDuJX6TdvDu
AlvPxhbDH-b9PfLPznpaI,WpkELU1QduAUsJRvAKneB
8RvcJBJNrnxJOtr5SY2lH,iW3M5z9QsfI5jnVSJjr5j
8RvcJBJNrnxJOtr5SY2lH,F72UQSSv5qnV6dGq2o8t-
8RvcJBJNrnxJOtr5SY2lH,n0OLj1cQnnbM3n-2eOzCj
hNyF2BQ5mm-GCcoxEI-EM,Uzldz52slOyT_7tD9MSW3
hNyF2BQ5mm-GCcoxEI-EM,phlunt5HJ3fBcZXrezlHN
eU0PZ5FRfk7aUb1ZYOvoK,tqy6nsKbGDANBHHt7CQaG
eU0PZ5FRfk7aUb1ZYOvoK,n0OLj1cQnnbM3n-2eOzCj
eU0PZ5FRfk7aUb1ZYOvoK,mE5Zf1AWhRKDQNHC_NsmV
tFfs4D7l4VTwWN5Ho0j97,F72UQSSv5qnV6dGq2o8t-
tFfs4D7l4VTwWN5Ho0j97,n0OLj1cQnnbM3n-2eOzCj
tFfs4D7l4VTwWN5Ho0j97,iW3M5z9QsfI5jnVSJjr5j
tFfs4D7l4VTwWN5Ho0j97,2bdRQFIcZXrYbhxeWeffc
xdxYawmftfuJwI9FWkmwF,l9bkiReXBvPDuJX6TdvDu
xdxYawmftfuJwI9FWkmwF,F72UQSSv5qnV6dGq2o8t-
1ioYwXwedwQ9BwVSmcfY5,F72UQSSv5qnV6dGq2o8t-
1ioYwXwedwQ9BwVSmcfY5,L34snMa-YMz_jT9erQqe2
1ioYwXwedwQ9BwVSmcfY5,ncFeNw-5M4iGoDD-A8hBH
1ioYwXwedwQ9BwVSmcfY5,Uzldz52slOyT_7tD9MSW3
1ioYwXwedwQ9BwVSmcfY5,-Q1NyL2hihfCdselYbnjo
gyZ2UqxNcGzFBBhBujmtk,F72UQSSv5qnV6dGq2o8t-
gyZ2UqxNcGzFBBhBujmtk,n0OLj1cQnnbM3n-2eOzCj
gyZ2UqxNcGzFBBhBujmtk,phlunt5HJ3fBcZXrezlHN
gyZ2UqxNcGzFBBhBujmtk,PFEwpbxaA9UrKET8fDnAt
gyZ2UqxNcGzFBBhBujmtk,tqy6nsKbGDANBHHt7CQaG
OrEULw9HhQB6G8vWGW2PZ,F72UQSSv5qnV6dGq2o8t-
OrEULw9HhQB6G8vWGW2PZ,n0OLj1cQnnbM3n-2eOzCj
OrEULw9HhQB6G8vWGW2PZ,Uzldz52slOyT_7tD9MSW3
OrEULw9HhQB6G8vWGW2PZ,mE5Zf1AWhRKDQNHC_NsmV
FwwCOhVKIe750gYxX7TFl,F72UQSSv5qnV6dGq2o8t-
FwwCOhVKIe750gYxX7TFl,L34snMa-YMz_jT9erQqe2
FwwCOhVKIe750gYxX7TFl,phlunt5HJ3fBcZXrezlHN
FwwCOhVKIe750gYxX7TFl,-5F1wQ50bue4PA2khE3sM
6DCdTKlZ-N-cDQKmXahDl,F72UQSSv5qnV6dGq2o8t-
6DCdTKlZ-N-cDQKmXahDl,PFEwpbxaA9UrKET8fDnAt
6DCdTKlZ-N-cDQKmXahDl,iW3M5z9QsfI5jnVSJjr5j
leFeYPt3Eq4dZpxI1t4Ga,F72UQSSv5qnV6dGq2o8t-
leFeYPt3Eq4dZpxI1t4Ga,hbMworHLCdna9k7lGwgWG
yJ7mSXAi_21L3eXke3sZW,-Q1NyL2hihfCdselYbnjo
yJ7mSXAi_21L3eXke3sZW,iW3M5z9QsfI5jnVSJjr5j
yJ7mSXAi_21L3eXke3sZW,Uzldz52slOyT_7tD9MSW3
yJ7mSXAi_21L3eXke3sZW,n0OLj1cQnnbM3n-2eOzCj
zh-qHzWfMbOd4zUCYzB_c,F72UQSSv5qnV6dGq2o8t-
zh-qHzWfMbOd4zUCYzB_c,n0OLj1cQnnbM3n-2eOzCj
zh-qHzWfMbOd4zUCYzB_c,Uzldz52slOyT_7tD9MSW3
zh-qHzWfMbOd4zUCYzB_c,ncFeNw-5M4iGoDD-A8hBH
zh-qHzWfMbOd4zUCYzB_c,-Q1NyL2hihfCdselYbnjo
H2ICjRG35pROORB2Exim2,F72UQSSv5qnV6dGq2o8t-
H2ICjRG35pROORB2Exim2,n0OLj1cQnnbM3n-2eOzCj
H2ICjRG35pROORB2Exim2,iW3M5z9QsfI5jnVSJjr5j
H2ICjRG35pROORB2Exim2,-Q1NyL2hihfCdselYbnjo
H2ICjRG35pROORB2Exim2,ncFeNw-5M4iGoDD-A8hBH
Dk74ZMwsYNUocbGhC9WcM,F72UQSSv5qnV6dGq2o8t-
Dk74ZMwsYNUocbGhC9WcM,L34snMa-YMz_jT9erQqe2
Dk74ZMwsYNUocbGhC9WcM,PFEwpbxaA9UrKET8fDnAt
Dk74ZMwsYNUocbGhC9WcM,-Q1NyL2hihfCdselYbnjo
Dk74ZMwsYNUocbGhC9WcM,ncFeNw-5M4iGoDD-A8hBH
Dk74ZMwsYNUocbGhC9WcM,phlunt5HJ3fBcZXrezlHN
EvZ287EMAlePxnZTQ0cvQ,F72UQSSv5qnV6dGq2o8t-
EvZ287EMAlePxnZTQ0cvQ,n0OLj1cQnnbM3n-2eOzCj
EvZ287EMAlePxnZTQ0cvQ,mE5Zf1AWhRKDQNHC_NsmV
EvZ287EMAlePxnZTQ0cvQ,2bdRQFIcZXrYbhxeWeffc
EvZ287EMAlePxnZTQ0cvQ,tqy6nsKbGDANBHHt7CQaG
o5hdvY_x_sl4jcOQ1ezcK,F72UQSSv5qnV6dGq2o8t-
o5hdvY_x_sl4jcOQ1ezcK,L34snMa-YMz_jT9erQqe2
o5hdvY_x_sl4jcOQ1ezcK,-Q1NyL2hihfCdselYbnjo
o5hdvY_x_sl4jcOQ1ezcK,Uzldz52slOyT_7tD9MSW3
pmtQ0JGnc6Ged-TZfC9O-,Uzldz52slOyT_7tD9MSW3
pmtQ0JGnc6Ged-TZfC9O-,phlunt5HJ3fBcZXrezlHN
RNbBgRKE-9bUxqv300-7S,F72UQSSv5qnV6dGq2o8t-
RNbBgRKE-9bUxqv300-7S,iW3M5z9QsfI5jnVSJjr5j
RNbBgRKE-9bUxqv300-7S,ncFeNw-5M4iGoDD-A8hBH
RNbBgRKE-9bUxqv300-7S,-5F1wQ50bue4PA2khE3sM
dqgMt_xYZsZLFvYV9idoF,F72UQSSv5qnV6dGq2o8t-
dqgMt_xYZsZLFvYV9idoF,-Q1NyL2hihfCdselYbnjo
dqgMt_xYZsZLFvYV9idoF,ncFeNw-5M4iGoDD-A8hBH
dqgMt_xYZsZLFvYV9idoF,Uzldz52slOyT_7tD9MSW3
0SnxMfgS1FKO8HeKUtXfp,F72UQSSv5qnV6dGq2o8t-
0SnxMfgS1FKO8HeKUtXfp,iW3M5z9QsfI5jnVSJjr5j
0SnxMfgS1FKO8HeKUtXfp,phlunt5HJ3fBcZXrezlHN
KnN_PUvWRYSVAEbxBDZVq,F72UQSSv5qnV6dGq2o8t-
KnN_PUvWRYSVAEbxBDZVq,n0OLj1cQnnbM3n-2eOzCj
KnN_PUvWRYSVAEbxBDZVq,iW3M5z9QsfI5jnVSJjr5j
aAIvUZkC7o4hd9CPzpYin,l9bkiReXBvPDuJX6TdvDu
aAIvUZkC7o4hd9CPzpYin,phlunt5HJ3fBcZXrezlHN
Iy-Ff7A_bmPzhPd4-fRy4,F72UQSSv5qnV6dGq2o8t-
Iy-Ff7A_bmPzhPd4-fRy4,iW3M5z9QsfI5jnVSJjr5j
Iy-Ff7A_bmPzhPd4-fRy4,n0OLj1cQnnbM3n-2eOzCj
Iy-Ff7A_bmPzhPd4-fRy4,-Q1NyL2hihfCdselYbnjo
Iy-Ff7A_bmPzhPd4-fRy4,ncFeNw-5M4iGoDD-A8hBH
9kbBuxugG2GnyVs5yY-nm,2bdRQFIcZXrYbhxeWeffc
9kbBuxugG2GnyVs5yY-nm,iW3M5z9QsfI5jnVSJjr5j
9kbBuxugG2GnyVs5yY-nm,L34snMa-YMz_jT9erQqe2
gZqeZUcozwIkDT_0Z0wiK,F72UQSSv5qnV6dGq2o8t-
gZqeZUcozwIkDT_0Z0wiK,phlunt5HJ3fBcZXrezlHN
gZqeZUcozwIkDT_0Z0wiK,hbMworHLCdna9k7lGwgWG
JeRmZLT97NUJET9LSUIVc,F72UQSSv5qnV6dGq2o8t-
JeRmZLT97NUJET9LSUIVc,Uzldz52slOyT_7tD9MSW3
JeRmZLT97NUJET9LSUIVc,PFEwpbxaA9UrKET8fDnAt
zRQ4l5byYfDg5FKAgl_UL,Uzldz52slOyT_7tD9MSW3
zRQ4l5byYfDg5FKAgl_UL,phlunt5HJ3fBcZXrezlHN
UDTAOfSwTABrGZPdN7jlK,F72UQSSv5qnV6dGq2o8t-
UDTAOfSwTABrGZPdN7jlK,Uzldz52slOyT_7tD9MSW3
UDTAOfSwTABrGZPdN7jlK,phlunt5HJ3fBcZXrezlHN
UDTAOfSwTABrGZPdN7jlK,WpkELU1QduAUsJRvAKneB
cJbyWgx1T0P-ZvTCLqEri,iW3M5z9QsfI5jnVSJjr5j
