id,content_url,base_language,actual_language,status,lat,lng,metadata
hsPXinmxaikJIzs9zMXSZ,https://www.tohokukanko.jp/en/attractions/detail_1265.html,EN,EN,PRIVATED,38.570404,140.530468,
b8_sBVW0wNzD-37zEqGKU,https://www.tohokukanko.jp/en/attractions/detail_1651.html,EN,EN,PRIVATED,39.805166,140.779751,
pyQBrd0mM3u01nzXCDlzw,https://www.tohokukanko.jp/en/attractions/detail_10071.html,EN,EN,PRIVATED,37.367769,138.776622,
gvhk6UwaVJnUfCF4RD8-d,https://www.tohokukanko.jp/en/attractions/detail_1239.html,EN,EN,PRIVATED,38.040829,140.53036,
JnovVPpxlJykUTWsI6CA_,https://www.tohokukanko.jp/en/attractions/detail_10012.html,EN,EN,PRIVATED,39.312102,140.565531,
XinELfZ32RUC82T6fsQps,https://www.tohokukanko.jp/en/attractions/detail_1203.html,EN,EN,PRIVATED,39.597983,140.562205,
rtd5Jt_tSeqKGu22B7u-H,https://www.tohokukanko.jp/en/attractions/detail_1287.html,EN,EN,PRIVATED,37.650845,140.07317,
a4SeFlU-Nn8Cr3z8uK-WT,https://www.tohokukanko.jp/en/attractions/detail_1604.html,EN,EN,PRIVATED,39.714064,140.6342889,
OwoxCPldY8fRbHJcQAWH1,https://www.tohokukanko.jp/en/attractions/detail_1776.html,EN,EN,PRIVATED,39.8051696,140.7775625,
T7J21XKscujSBqS0BXQGv,https://www.tohokukanko.jp/en/attractions/detail_1009534.html,EN,EN,PRIVATED,38.1610726,140.3946594,
Q50KwAVVbnGEuSgeFQIqW,https://www.tohokukanko.jp/en/attractions/detail_1546.html,EN,EN,PRIVATED,37.333008,139.860492,
f-HUahOhc9zFE1WCh4AlW,https://www.tohokukanko.jp/en/attractions/detail_10050.html,EN,EN,PRIVATED,39.458975,140.465552,
IoTd6X0nqpz8zzl-dWv_M,https://www.tohokukanko.jp/en/attractions/detail_1405.html,EN,EN,PRIVATED,38.3701097,141.0655308,
DDKBjnMBTgXdrBGfx4Pzv,https://www.tohokukanko.jp/en/attractions/detail_10057.html,EN,EN,PRIVATED,37.447227,138.836019,
OIRLPw8c_2KP5j5qXF8ho,https://www.tohokukanko.jp/en/attractions/detail_1484.html,EN,EN,PRIVATED,38.227371,140.720222,
