id,content_url,language,title,description
-Mjx1-zlNO4jZi0amQr8v,https://www.ojisanjake.com/2019/07/nakiri-shrine-another-cave-shrine.html,JA,これがタイトルです,Ahsf;Alkfjas;lfkj
46,https://www.t-borderislands.metro.tokyo.lg.jp/okinotorishima/,JA,���m����,�œ�[
wFe-A0jn9L_9oEKdmL5CY,https://www.youtube.com/watch?v=Aci5BfZCkV8,JA,YouTube,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube."
CTNUZjaQSRnI6y2k1ofCp,https://www.youtube.com,JA,YouTube,YouTube でお気に入りの動画や音楽を楽しみ、オリジナルのコンテンツをアップロードして友だちや家族、世界中の人たちと共有しましょう。
jQa58-Z4OjlA_-cil80qO,https://widgets.bokun.io/online-sales/1288269e-9795-4a81-a368-681df893ae2f/experience/245303,JA,Night tour of Takayama (About 40 min.),"昼間は経験できない、夜の古い町並みを楽しむ事ができます。
ガイドの説明を通して高山の人々の生活スタイルや、宗教、町並みをなぜそうなっているか理解する事ができます。
集合は高山陣屋前に集合して、最後は赤い中橋で解散し、
歩いて巡るツアーです。

You can see wonderful scenery that you can not experience in the daytime.

Through the explanation of the guide, you can understand why Takayama people's lifestyle, religion, and townscape are so.

The gathering gathers in front of Takayama Jinya, and finally it dissolves at the red Nakabashi,

This is walking tour.

Not less than 3 person.
we can arrange other your private tour.(e.g. Shirakawa-go, Inside Takayama city,etc..)
If you need chinese guide let us inform about it.
If you want to do as private tour please let us know."
42SGkpSrrsm4nL6rfQcEJ,https://www.youtube.com/watch?v=VPJGnh4uamU,JA,森で産まれる（短縮版）,The words of artisans and creators who inherit tradition. Touching the depth of craftsmanship in the forests of Kyoto.
MDC-qBvUD80Nj1XfK7CCn,https://www.youtube.com/watch?v=kLJAoO9TyOU,JA,奈良秘食旅～春～,Nara Prefecture's food charm introduced by season.
569R7u-U38W9jD9HH37WT,https://www.youtube.com/watch?v=qI1Czc9I4BM,JA,さぁ香川の島旅へ！,"A journey to feel the nature of Setouchi, which is proud of the world. Let's go island hopping in the Setouchi area with a chartered boat!"
qrNJTg-5ubGLZS0uR1mUN,https://hyakkiyakoneon.com/en,JA,"[Hyakki Yagyo Neon Workshop] We provide estimates, production, and installation of glass neon signs throughout the country, with a focus on Kyoto.","Hyakki Yako Neon Studio is a studio that designs, produces, and installs glass neon signs, not LEDs. We manufacture neon tubes, which cannot be mechanized, and value Japan's unique neon culture."
4yLRpvetKJTqcR2r6mPZh,https://www.youtube.com/watch?v=s0-DBhsLzNQ,JA,奈良秘食旅～秋～,Nara Prefecture's culinary charm introduced by season.
M1DuoCF5TKZFur4uc5s48,https://www.youtube.com/watch?v=GJlbDon4LD8,JA,奈良秘食旅～秋～　ダイジェスト版,A video introducing the charm of autumn food in Nara Prefecture.
M7JximTJfxT4S5Zzhy4AD,https://www.youtube.com/watch?v=_NS0aSoOmPI,JA,奈良秘食旅～春～　ダイジェスト版,A video introducing the charm of spring food in Nara Prefecture.
zU6jleoPPqKPPqJNZOwO2,https://www.youtube.com/watch?v=_TpOS5jQzWQ,JA,せんとくんがご案内！withコロナのなら観光　北部編,Sento-kun introduces safe and secure tourist facilities in various parts of Nara Prefecture.
