id,content_url,vid,metadata
iKA1B28HICzJaXNfZGzXA,https://www.youtube.com/watch?v=ks1PY9sl8zE,zkPpANO4wrKRZsIUuU1vx,null
DfFxIeW7orVLmrl7w4rLx,https://www.youtube.com/watch?v=DRb8O6iE4SE,n-zipJL6j3-GTQfTbgQLX,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
MSgl3I-jr8o-_jsnSI7Ff,https://www.youtube.com/watch?v=h2-YsZgzO1w,pbo20ku6oaidBVMTKBmnt,"{""channel_id"":""UCCG7n7KsRP4hQEL2ff4y5jw"",""channel_name"":""旅行の達人""}"
CqNbvZWsoD_hofqv3Z7CA,https://www.youtube.com/watch?v=YUCCvyGHyZQ,YmDrjlpd2D0I668Ajx31P,"{""channel_id"":""UCmOlQBf8VIG7I1zj8wXzfxQ"",""channel_name"":""奄美群島広域事務組合"",""actual_language"":""ZH""}"
hirT4rFB3yFEdgd2t3i7C,https://www.youtube.com/watch?v=8QXa6Dy7wAA,wlWgDph25VsDZfpDkop1N,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
F1HZgq1WVFvCA4irMYtBb,https://www.youtube.com/watch?v=0tK-G7c9K9c,RC0-iESDwXvgv17gyMJ8D,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
ghcNpXsFH-QFkrtTir9pt,https://www.youtube.com/watch?v=ftU9eQAmvIQ,lG0jfhTHT60Xsz7YndkjP,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
GP23GATkIv_3NTANU1sd6,https://www.youtube.com/watch?v=ouoKxM1I5iE,T_KvhgT5FFNz-WLwB_-IX,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
HjJu92dZU4fHHVLKF5M8s,https://www.youtube.com/watch?v=cjH0qlBlptc,eU4BXxOPFlsUUV0ddp9A-,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
oWamQFR6wqaT2OHORbjsR,https://www.youtube.com/watch?v=CDL1rPMxnZc,6ckgYyM2ggTforAskzIRP,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
b71-ia6IY20Luo2FwztcZ,https://www.youtube.com/watch?v=0JUWADoS050,zGKvGZ4UBVTfN6IxZFjgY,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
Vb0nq_Pw5TvAc3XqJK97P,https://www.youtube.com/watch?v=IMpS68PT1H0,vznXsLZ23uZ0ez-PS0Y52,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
5rqSZ6RbtodWcPxS9n4IO,https://www.youtube.com/watch?v=Vk6ghU4idL8,dZMfxZagYvHH9T7XjKgln,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
l2F-msy0NB7WD0MJidCKa,https://www.youtube.com/watch?v=gfcDOLme_aw,fmLhIb-kv9Jis7x-JX7kg,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
7MV-UzzU_XPSfEyttfyq6,https://www.youtube.com/watch?v=zyklP1y8HmI,EdENgyRs-HLotnjysVRKZ,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
ijSHYdydb-Vd-g3pjDcek,https://www.youtube.com/watch?v=mM3VIu2fKaA,SQVRPvRr14gYXDlg7nAWT,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
IaKx10_5g--knPkLLG1Ll,https://www.youtube.com/watch?v=EquAES9AX64,O-4u1xRUWB6LBeo10O279,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
jl4Pc4SKN0-n0iX600N6J,https://www.youtube.com/watch?v=usYCN4Qo62I,5lgKjqPaON5jpcB-r2vyc,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
6za_eDwyBAnEzUsFlRKX5,https://www.youtube.com/watch?v=Cr4_oS2493M,wtCarNIZmLxyUyQcCSsLt,"{""channel_id"":""UCrroaGjAjAjqXEjqdsjLMIw"",""channel_name"":""Currently Hannah""}"
TxV0J8cKb06FHtp20pJo_,https://www.youtube.com/watch?v=ExS24ngnc8k,G1fJIRBu6AgD0XvO0q01D,"{""channel_id"":""UCoEme6xBIdbEmDFAIPKQBKA"",""channel_name"":""EpicExplorationsTV EN""}"
2BWxoW3GS7A61j8iDtqmV,https://www.youtube.com/watch?v=GnlU8xbFPf8,iM6JFZ-0sqln0EfiMbtK0,"{""channel_id"":""UCnNJRB49K1joPn4ZzKmnkOQ"",""channel_name"":""Shunpei しゅんぺー　traveler🇯🇵"",""based_on_title"":true}"
n6nCfdbwlyTptQTJMtrMV,https://www.youtube.com/watch?v=ilbwEn92-XU,gGFIgcz-CAB0l2iV_kBLX,"{""channel_id"":""UCmOlQBf8VIG7I1zj8wXzfxQ"",""channel_name"":""奄美群島広域事務組合"",""actual_language"":""ZH""}"
61XUZ5oK6rTVXvbVx_S7F,https://www.youtube.com/watch?v=DcwfCyFg0VQ,Fz4NbhxAYEIyeoOLPyfRk,"{""channel_id"":""UCoEme6xBIdbEmDFAIPKQBKA"",""channel_name"":""EpicExplorationsTV EN""}"
CirXkZAyNI09PRDBxDSl-,https://www.youtube.com/watch?v=ECXkq89Zg1o,NSQj8cQta0DZ0XrK4nn_t,"{""channel_id"":""UCi8xUU_lg3zr8UcBXLdEheQ"",""channel_name"":""Qatar Airways""}"
qDW2ZWnbK6iWE_1g_f55Y,https://www.youtube.com/watch?v=63UtzXfN15s,9CrAdIalM89tGa7ggfwA4,"{""channel_id"":""UCMthB6k6LRN5Qwz8WybfXvA"",""channel_name"":""TDR Explorer""}"
1EobbaLU5ElnjZSUB3L7e,https://www.youtube.com/watch?v=JTwR43FmBSY,KE0zJMt_btoEAVK_piTGN,"{""channel_id"":""UC4onwMScAwqvQyVSibQvRKw"",""channel_name"":""おきなわ さんぽ Okinawa Walk""}"
RUk5mTSFRh2DTCxsetMcG,https://www.youtube.com/watch?v=BZfDcfgtS3E,Zap5PVgrkTz0CjASBXPtj,"{""channel_id"":""UC36VBOJ0Y0KHajbYlkSTbbw"",""channel_name"":""京都・福知山市【公式】""}"
-BrfRzolWMHJwlXeVjPli,https://www.youtube.com/watch?v=r290EN3o-nI,7IMzyijsxyjh0eRIM1HQ4,"{""channel_id"":""UCQDKpfTS6haXS6BAHebR8Hw"",""channel_name"":""It's Time to Travel🇯🇵  / 旅する時間""}"
jcsPqh27JBaQHIjq4P3dy,https://www.youtube.com/watch?v=z37NnuDZSq0,r8ihbgFqRg8h9Gu0xI7VP,"{""channel_id"":""UCNW_H9_WCc-KvSqm2jlPcrw"",""channel_name"":""わかやま観光"",""based_on_title"":true}"
LXIP71h9Tv7c253jdIWKz,https://www.youtube.com/watch?v=G9ZaZbSjzn4,I0BLWid9_GT0W1f8Q5AS_,"{""channel_id"":""UCGSo9Ce23N7KvBOUF5SrDjA"",""channel_name"":""Tokyo Cheapo""}"
